Country;Constituency;Area;County;Electorate;CON;LAB;LIB;Green;NAT;MIN;UKIP;OTH
England;Aldershot;South East;Hampshire;76765;3300;3300;1000;500;000;000;1500;400
England;Aldridge-Brownhills;West Midlands;Black Country;73122;3200;3000;600;800;000;000;2300;000
England;Altrincham and Sale West;North West;Central Manchester;73934;2700;4700;700;400;000;000;1100;400
England;Amber Valley;East Midlands;Derbyshire;70625;3000;3500;600;800;000;000;2100;000
England;Arundel and South Downs;South East;West Sussex;76974;2700;2200;1700;1000;000;000;1900;500
England;Ashfield;East Midlands;Nottinghamshire;69819;2200;3100;700;200;000;000;1400;2400
England;Ashford;South East;Kent;73546;2600;3000;900;900;000;000;2100;500
England;Ashton-under-Lyne;North West;Eastern Manchester;72278;1700;5300;600;600;000;000;1600;200
England;Aylesbury;South East;Buckinghamshire;75636;2500;2100;2800;500;000;000;1800;300
England;Banbury;South East;Oxfordshire;69943;3100;3600;1100;500;000;000;1300;300
England;Barking;London;Barking and Dagenham;71822;1200;6400;400;400;000;000;1400;200
England;Barnsley North;Yorkshire and The Humber;South Yorkshire;76794;1900;5000;500;400;000;000;1700;400
England;Barnsley South;Yorkshire and The Humber;South Yorkshire;75896;1200;5200;700;600;000;000;2000;300
England;Barrow and Furness;North West;Cumbria;76603;3600;5000;200;200;000;000;1000;000
England;Basildon and Billericay;East of England;Essex;76993;2900;2800;700;800;000;000;2300;500
England;Basingstoke;South East;Hampshire;77050;3000;3900;700;500;000;000;1400;500
England;Bassetlaw;East Midlands;Nottinghamshire;75773;4000;4300;300;100;000;000;1300;000
England;Bath;South West;Bristol area;73241;1600;1300;5500;500;000;000;900;300
England;Battersea;London;Wandsworth;71949;2200;5500;800;400;000;000;800;200
England;Beaconsfield;South East;Buckinghamshire;72315;2600;1800;2200;800;000;000;1900;700
England;Beckenham and Penge;London;Bromley;76625;2500;5100;900;500;000;000;1000;000
England;Bedford;East of England;Bedfordshire;70068;2400;5300;600;400;000;000;1000;300
England;Bermondsey and Old Southwark;London;Southwark;70602;500;5400;3200;300;000;000;500;100
England;Bethnal Green and Stepney;London;Tower Hamlets;77000;500;7600;900;500;000;000;400;200
England;Beverley and Holderness;Yorkshire and The Humber;Humber area;71102;2700;3100;800;800;000;000;1900;600
England;Bexhill and Battle;South East;East Sussex;70869;2700;2700;1200;900;000;000;2100;400
England;Bexleyheath and Crayford;London;Bexley;69948;3400;4000;400;500;000;000;1700;000
England;Bicester and Woodstock;South East;Oxfordshire;70389;3200;2000;3400;500;000;000;900;000
England;Birkenhead;North West;Merseyside;76271;700;6500;600;900;000;000;600;600
England;Birmingham Edgbaston;West Midlands;Birmingham;71354;1600;5800;700;500;000;000;1200;200
England;Birmingham Erdington;West Midlands;Birmingham;76856;1900;5300;500;500;000;000;1500;300
England;Birmingham Hall Green and Moseley;West Midlands;Birmingham;75781;700;6700;900;300;000;000;500;900
England;Birmingham Hodge Hill and Solihull North;West Midlands;Birmingham;76922;1200;6000;800;700;000;000;1000;200
England;Birmingham Ladywood;West Midlands;Birmingham;76585;500;7900;900;500;000;000;200;000
England;Birmingham Northfield;West Midlands;Birmingham;73483;3100;5300;300;300;000;000;1000;100
England;Birmingham Perry Barr;West Midlands;Birmingham;74048;900;6900;900;400;000;000;800;200
England;Birmingham Selly Oak;West Midlands;Birmingham;76285;1400;5900;800;600;000;000;1100;200
England;Birmingham Yardley;West Midlands;Birmingham;71912;1200;5900;1200;400;000;000;1100;200
England;Bishop Auckland;North East;Durham;70879;3500;4700;300;200;000;000;1100;100
England;Blackburn;North West;Lancashire;70586;1100;6900;500;400;000;000;900;200
England;Blackley and Middleton South;North West;Central Manchester;71735;1300;6300;600;500;000;000;1400;000
England;Blackpool North and Fleetwood;North West;Lancashire;75396;3700;4700;300;200;000;000;1000;100
England;Blackpool South;North West;Lancashire;76071;3300;5100;200;200;000;000;1000;100
England;Blaydon and Consett;North East;Durham;70163;2100;5200;500;500;000;000;1100;600
England;Blyth and Ashington;North East;Northumberland;75452;2500;5800;400;300;000;000;1000;000
England;Bognor Regis and Littlehampton;South East;West Sussex;76985;2700;2500;1100;800;000;000;2200;600
England;Bolsover;East Midlands;Derbyshire;74680;3400;4900;300;300;000;000;1200;000
England;Bolton North East;North West;Western Manchester;77020;3100;5400;200;200;000;000;1100;000
England;Bolton South and Walkden;North West;Western Manchester;75716;1400;5900;500;500;000;000;1400;200
England;Bolton West;North West;Western Manchester;72125;3700;4700;300;200;000;000;1100;000
England;Bootle;North West;Merseyside;75194;400;8100;500;400;000;000;500;100
England;Boston and Skegness;East Midlands;Lincolnshire;75806;3000;2100;500;700;000;000;3000;700
England;Bournemouth East;South West;Dorset;73173;3300;4400;700;600;000;000;900;100
England;Bournemouth West;South West;Dorset;72094;3400;4400;700;600;000;000;900;000
England;Bracknell;South East;Berkshire;70247;2500;3100;1200;800;000;000;1900;500
England;Bradford East;Yorkshire and The Humber;West Yorkshire;72150;1000;6500;1200;300;000;000;800;100
