Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Aldershot;South East;Hampshire;76765;3160;3240;1150;1570;450;0;0;420
England;Aldridge-Brownhills;West Midlands;Black Country;73122;3170;2990;670;2540;640;0;0;0
England;Altrincham and Sale West;North West;Central Manchester;73934;2670;4610;710;1140;380;0;0;490
England;Amber Valley;East Midlands;Derbyshire;70625;2930;3500;660;2220;690;0;0;0
England;Arundel and South Downs;South East;West Sussex;76974;2590;2150;1780;2060;880;0;0;540
England;Ashfield;East Midlands;Nottinghamshire;69819;2000;2960;890;1710;200;0;0;2240
England;Ashford;South East;Kent;73546;2470;2840;980;2380;740;0;0;590
England;Ashton-under-Lyne;North West;Eastern Manchester;72278;1580;5050;660;1910;540;0;0;270
England;Aylesbury;South East;Buckinghamshire;75636;2320;2070;2720;2080;450;0;0;360
England;Banbury;South East;Oxfordshire;69943;2970;3530;1340;1340;440;0;0;390
England;Barking;London;Barking and Dagenham;71822;1140;6120;390;1780;370;0;0;200
England;Barnsley North;Yorkshire and The Humber;South Yorkshire;76794;1920;4590;490;2230;370;0;0;400
England;Barnsley South;Yorkshire and The Humber;South Yorkshire;75896;1090;4790;730;2650;470;0;0;270
England;Barrow and Furness;North West;Cumbria;76603;3440;5040;260;1070;190;0;0;0
England;Basildon and Billericay;East of England;Essex;76993;2760;2720;780;2530;630;0;0;580
England;Basingstoke;South East;Hampshire;77050;2900;3770;890;1450;460;0;0;530
England;Bassetlaw;East Midlands;Nottinghamshire;75773;3780;4190;400;1490;130;0;0;0
England;Bath;South West;Bristol area;73241;1530;1250;5590;870;460;0;0;300
England;Battersea;London;Wandsworth;71949;2060;5420;1000;860;380;0;0;270
England;Beaconsfield;South East;Buckinghamshire;72315;2540;1710;2300;2010;680;0;0;760
England;Beckenham and Penge;London;Bromley;76625;2370;5060;1110;1020;450;0;0;0
England;Bedford;East of England;Bedfordshire;70068;2350;5270;690;1070;300;0;0;320
England;Bermondsey and Old Southwark;London;Southwark;70602;520;5240;3340;500;270;0;0;130
England;Bethnal Green and Stepney;London;Tower Hamlets;77000;460;7600;920;340;520;0;0;170
England;Beverley and Holderness;Yorkshire and The Humber;Humber area;71102;2640;3050;910;2010;680;0;0;700
England;Bexhill and Battle;South East;East Sussex;70869;2650;2660;1260;2200;770;0;0;450
England;Bexleyheath and Crayford;London;Bexley;69948;3330;3850;470;1960;390;0;0;0
England;Bicester and Woodstock;South East;Oxfordshire;70389;3100;2320;3150;810;620;0;0;0
England;Birkenhead;North West;Merseyside;76271;730;6550;640;560;910;0;0;610
England;Birmingham Edgbaston;West Midlands;Birmingham;71354;1610;5740;720;1190;470;0;0;280
England;Birmingham Erdington;West Midlands;Birmingham;76856;1810;5310;560;1550;460;0;0;310
England;Birmingham Hall Green and Moseley;West Midlands;Birmingham;75781;660;6680;980;470;310;0;0;900
England;Birmingham Hodge Hill and Solihull North;West Midlands;Birmingham;76922;1210;6000;860;1040;620;0;0;270
England;Birmingham Ladywood;West Midlands;Birmingham;76585;590;7750;910;160;470;0;0;120
