Country;Constituency;Area;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Wales;Aberafan Maesteg;Wales;Wales;West Glamorgan;69817;1300;5000;300;1300;600;1300;0;100
Scotland;Aberdeen North;Scotland;Scotland;Grampian;76895;1300;3000;500;700;300;4000;0;200
Scotland;Aberdeen South;Scotland;Scotland;Grampian;76560;1900;2700;900;400;400;3400;0;200
Scotland;Aberdeenshire North and Moray East;Scotland;Scotland;Grampian;71485;2600;1600;400;1100;0;4100;0;0
Scotland;Airdrie and Shotts;Scotland;Scotland;Glasgow area;70420;700;5500;200;400;0;3100;0;100
England;Aldershot;South East;South East;Hampshire;76765;3100;3300;1400;1500;500;0;0;100
England;Aldridge-Brownhills;West Midlands;West Midlands;Black Country;73122;3900;3500;500;1700;200;0;0;0
Scotland;Alloa and Grangemouth;Scotland;Scotland;Central;72265;600;4000;100;800;200;3900;0;200
England;Altrincham and Sale West;North West;North West;Central Manchester;73934;2800;5500;500;700;400;0;0;100
Wales;Alyn and Deeside;Wales;Wales;Clwyd;75695;2600;4300;400;1100;700;700;0;100
England;Amber Valley;East Midlands;East Midlands;Derbyshire;70625;3400;4100;300;1600;500;0;0;0
Scotland;Angus and Perthshire Glens;Scotland;Scotland;Tayside;77006;2400;1900;700;600;0;4200;0;100
Scotland;Arbroath and Broughty Ferry;Scotland;Scotland;Tayside;76810;1500;3500;500;900;0;3600;0;100
Scotland;Argyll, Bute and South Lochaber;Scotland;Scotland;Argyll and Bute;71707;2100;2600;1000;400;0;3700;0;100
England;Arundel and South Downs;South East;South East;West Sussex;76974;3700;2400;1900;1300;600;0;0;000
England;Ashfield;East Midlands;East Midlands;Nottinghamshire;69819;800;2100;200;5900;700;0;0;100
England;Ashford;South East;South East;Kent;73546;3200;3900;700;1400;600;0;0;000
England;Ashton-under-Lyne;North West;North West;Eastern Manchester;72278;2000;5500;300;1200;800;0;0;100
England;Aylesbury;South East;South East;Buckinghamshire;75636;3000;3400;1700;1200;500;0;0;100
Scotland;Ayr, Carrick and Cumnock;Scotland;Scotland;Ayrshire and Lanark;72057;2000;3700;400;400;200;3200;0;100
England;Banbury;South East;South East;Oxfordshire;69943;3000;4000;1000;1200;600;0;0;000
Wales;Bangor Aberconwy;Wales;Wales;Clwyd;70468;2100;4200;300;1100;400;1700;0;100
England;Barking;London;London;Barking and Dagenham;71822;1600;6000;300;900;700;0;0;300
England;Barnsley North;Yorkshire and The Humber;Yorkshire and The Humber;South Yorkshire;76794;1100;5500;500;2300;400;0;0;100
England;Barnsley South;Yorkshire and The Humber;Yorkshire and The Humber;South Yorkshire;75896;1000;5700;300;2500;400;0;0;000
