Check;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Aldershot;Aldershot;South East;Hampshire;76765;30900;33200;8300;21200;6100;0;0;300
Aldridge-Brownhills;Aldridge-Brownhills;West Midlands;Black Country;73122;40100;14700;9000;29500;6200;0;0;400
Altrincham and Sale West;Altrincham and Sale West;North West;Central Manchester;73934;28500;31700;13600;15700;8500;0;0;1900
Amber Valley;Amber Valley;East Midlands;Derbyshire;70625;26400;23700;10800;31900;6800;0;0;300
Arundel and South Downs;Arundel and South Downs;South East;West Sussex;76974;43100;11900;15800;19100;9500;0;0;500
Ashfield;Ashfield;East Midlands;Nottinghamshire;69819;20000;13200;9600;43400;6700;0;0;7100
Ashford;Ashford;South East;Kent;73546;30800;24500;7000;26900;9700;0;0;1100
Ashton-under-Lyne;Ashton-under-Lyne;North West;Eastern Manchester;72278;17600;29600;8300;32400;7400;0;0;4700
Aylesbury;Aylesbury;South East;Buckinghamshire;75636;31500;26200;16200;17600;7300;0;0;1200
Banbury;Banbury;South East;Oxfordshire;69943;30800;29700;13800;17100;6800;0;0;1900
Barking;Barking;London;Barking and Dagenham;71822;18100;36900;7800;20400;8500;0;0;8400
Barnsley North;Barnsley North;Yorkshire and The Humber;South Yorkshire;76794;16300;28100;9000;38800;6200;0;0;1500
Barnsley South;Barnsley South;Yorkshire and The Humber;South Yorkshire;75896;16700;25400;9900;41000;5700;0;0;1400
Barrow and Furness;Barrow and Furness;North West;Cumbria;76603;29100;28300;11400;24800;5800;0;0;600
Basildon and Billericay;Basildon and Billericay;East of England;Essex;76993;35800;15900;9800;31500;6100;0;0;900
Basingstoke;Basingstoke;South East;Hampshire;77050;28900;31900;9700;20000;8600;0;0;900
Bassetlaw;Bassetlaw;East Midlands;Nottinghamshire;75773;27600;24700;11500;30200;5600;0;0;400
Bath;Bath;South West;Bristol area;73241;21200;14100;37600;12800;11300;0;0;3000
Battersea;Battersea;London;Wandsworth;71949;19900;43800;16400;7900;9400;0;0;2600
Beaconsfield;Beaconsfield;South East;Buckinghamshire;72315;41500;10900;20400;17400;7300;0;0;2500
Beckenham and Penge;Beckenham and Penge;London;Bromley;76625;23400;41200;14200;13400;7500;0;0;400
Bedford;Bedford;East of England;Bedfordshire;70068;24300;33600;11200;17700;7500;0;0;5600
Bermondsey and Old Southwark;Bermondsey and Old Southwark;London;Southwark;70602;11800;45200;18600;10600;11300;0;0;2400
Bethnal Green and Stepney;Bethnal Green and Stepney;London;Tower Hamlets;77000;9700;32000;9100;7400;14300;0;0;27600
Beverley and Holderness;Beverley and Holderness;Yorkshire and The Humber;Humber area;71102;39000;17000;12500;25500;5200;0;0;800
Bexhill and Battle;Bexhill and Battle;South East;East Sussex;70869;42300;14200;10400;22800;7300;0;0;2900
Bexleyheath and Crayford;Bexleyheath and Crayford;London;Bexley;69948;29900;28200;9200;27200;5200;0;0;200
Bicester and Woodstock;Bicester and Woodstock;South East;Oxfordshire;70389;31000;14900;30100;16700;6800;0;0;400
Birkenhead;Birkenhead;North West;Merseyside;76271;11800;35400;9900;22400;19400;0;0;1000
Birmingham Edgbaston;Birmingham Edgbaston;West Midlands;Birmingham;71354;23300;34800;8700;14100;10300;0;0;8800
Birmingham Erdington;Birmingham Erdington;West Midlands;Birmingham;76856;22000;30400;7200;25700;9700;0;0;4900
Birmingham Hall Green and Moseley;Birmingham Hall Green and Moseley;West Midlands;Birmingham;75781;12600;28700;8700;7400;10300;0;0;32400
Birmingham Hodge Hill and Solihull North;Birmingham Hodge Hill and Solihull North;West Midlands;Birmingham;76922;17700;22800;4300;23100;13200;0;0;18900
Birmingham Ladywood;Birmingham Ladywood;West Midlands;Birmingham;76585;11300;35100;5300;7500;11900;0;0;29100
Birmingham Northfield;Birmingham Northfield;West Midlands;Birmingham;73483;26100;28500;7900;25400;10600;0;0;1500
Birmingham Perry Barr;Birmingham Perry Barr;West Midlands;Birmingham;74048;16300;23200;5500;10900;9300;0;0;34900
Birmingham Selly Oak;Birmingham Selly Oak;West Midlands;Birmingham;76285;20200;35100;6800;17800;13000;0;0;7100
Birmingham Yardley;Birmingham Yardley;West Midlands;Birmingham;71912;16700;25500;6400;18400;8300;0;0;24700
Bishop Auckland;Bishop Auckland;North East;Durham;70879;31000;24500;10600;27600;5600;0;0;700
Blackburn;Blackburn;North West;Lancashire;70586;15900;17600;6700;17800;5400;0;0;36600
Blackley and Middleton South;Blackley and Middleton South;North West;Central Manchester;71735;17400;35800;9700;27500;8700;0;0;900
Blackpool North and Fleetwood;Blackpool North and Fleetwood;North West;Lancashire;75396;29100;23700;12200;29300;5100;0;0;700
Blackpool South;Blackpool South;North West;Lancashire;76071;24600;25000;13100;30000;6600;0;0;800
Blaydon and Consett;Blaydon and Consett;North East;Durham;70163;18400;35600;9400;29500;6500;0;0;600
Blyth and Ashington;Blyth and Ashington;North East;Northumberland;75452;19900;31300;9100;32900;6400;0;0;400
Bognor Regis and Littlehampton;Bognor Regis and Littlehampton;South East;West Sussex;76985;38000;14500;10800;29000;6900;0;0;800
Bolsover;Bolsover;East Midlands;Derbyshire;74680;25400;23800;10100;32500;7800;0;0;500
Bolton North East;Bolton North East;North West;Western Manchester;77020;24600;24700;9900;28900;8300;0;0;3600
Bolton South and Walkden;Bolton South and Walkden;North West;Western Manchester;75716;18600;27100;7900;29600;7800;0;0;9100
Bolton West;Bolton West;North West;Western Manchester;72125;29700;26500;10200;25100;7600;0;0;900
Bootle;Bootle;North West;Merseyside;75194;10400;48200;10900;19200;10400;0;0;900
Boston and Skegness;Boston and Skegness;East Midlands;Lincolnshire;75806;33400;6800;7700;46700;4600;0;0;800
Bournemouth East;Bournemouth East;South West;Dorset;73173;28400;25600;10900;24500;8200;0;0;2300
Bournemouth West;Bournemouth West;South West;Dorset;72094;29000;22300;10100;28500;9200;0;0;900
Bracknell;Bracknell;South East;Berkshire;70247;30700;30000;11000;21300;6200;0;0;800
Bradford East;Bradford East;Yorkshire and The Humber;West Yorkshire;72150;17000;25900;8200;17800;8800;0;0;22400
Bradford South;Bradford South;Yorkshire and The Humber;West Yorkshire;70890;21200;23200;7500;31200;8500;0;0;8400
Bradford West;Bradford West;Yorkshire and The Humber;West Yorkshire;71258;14100;25300;6800;12100;9800;0;0;32000
Braintree;Braintree;East of England;Essex;75662;39400;13700;11500;28200;6200;0;0;1000
Brent East;Brent East;London;Brent;75880;17500;44600;10800;8600;9900;0;0;8700
Brent West;Brent West;London;Brent;76443;27000;38400;11000;9300;7100;0;0;7300
Brentford and Isleworth;Brentford and Isleworth;London;Hounslow;76354;21400;38900;12200;12000;8800;0;0;6700
Brentwood and Ongar;Brentwood and Ongar;East of England;Essex;74937;41200;13400;12900;27400;4600;0;0;600
Bridgwater;Bridgwater;South West;Somerset;71418;32500;13400;15300;32200;5800;0;0;900
Bridlington and The Wolds;Bridlington and The Wolds;Yorkshire and The Humber;Humber area;72501;39600;12400;10700;31000;4900;0;0;1300
Brigg and Immingham;Brigg and Immingham;Yorkshire and The Humber;Humber area;71628;38500;13700;11100;31100;5300;0;0;300
Brighton Kemptown and Peacehaven;Brighton Kemptown and Peacehaven;South East;East Sussex;69865;24000;34800;11100;9800;16600;0;0;3900
Brighton Pavilion;Brighton Pavilion;South East;East Sussex;75722;13200;18600;7200;9700;49600;0;0;1700
Bristol Central;Bristol Central;South West;Bristol area;70227;9200;21700;4800;8900;52700;0;0;2800
Bristol East;Bristol East;South West;Bristol area;75936;15600;32800;7700;16100;23100;0;0;4800
Bristol North East;Bristol North East;South West;Bristol area;69793;18600;32600;7300;22900;15200;0;0;3500
Bristol North West;Bristol North West;South West;Bristol area;76783;17300;37100;10700;16000;17500;0;0;1400
Bristol South;Bristol South;South West;Bristol area;74696;15600;30200;7800;25700;19900;0;0;800
Broadland and Fakenham;Broadland and Fakenham;East of England;Norfolk;72907;37000;15300;15900;24900;6400;0;0;500
Bromley and Biggin Hill;Bromley and Biggin Hill;London;Bromley;71515;37400;21200;13400;21100;6500;0;0;300
Bromsgrove;Bromsgrove;West Midlands;Hereford and Worcestershire;75305;39200;16000;14400;22500;6100;0;0;1800
Broxbourne;Broxbourne;East of England;Hertfordshire;75454;38000;16000;11300;27900;6000;0;0;900
Broxtowe;Broxtowe;East Midlands;Nottinghamshire;72461;24100;30300;11000;23200;9100;0;0;2300
Buckingham and Bletchley;Buckingham and Bletchley;South East;Buckinghamshire;73644;31400;29900;11400;19700;6600;0;0;1100
Burnley;Burnley;North West;Lancashire;75436;24000;21200;18500;27700;6600;0;0;1900
Burton and Uttoxeter;Burton and Uttoxeter;West Midlands;Staffordshire;75460;31300;24200;8900;25200;6800;0;0;3700
Bury North;Bury North;North West;Western Manchester;77009;27100;30100;10100;22400;5800;0;0;4600
Bury South;Bury South;North West;Western Manchester;74598;25200;33000;10700;21300;6500;0;0;3300
Bury St Edmunds and Stowmarket;Bury St Edmunds and Stowmarket;East of England;Suffolk;75655;30300;23100;8600;25800;11100;0;0;1200
Calder Valley;Calder Valley;Yorkshire and The Humber;West Yorkshire;75987;27500;29700;14300;20300;7200;0;0;900
Camborne and Redruth;Camborne and Redruth;South West;Cornwall;73568;28600;22400;14400;25100;8300;0;0;1300
Cambridge;Cambridge;East of England;Cambridgeshire;72560;14300;40700;16400;6900;15500;0;0;6400
Cannock Chase;Cannock Chase;West Midlands;Staffordshire;75582;30300;23600;7700;30700;7400;0;0;300
Canterbury;Canterbury;South East;Kent;75499;28000;33000;7800;18400;11900;0;0;900
Carlisle;Carlisle;North West;Cumbria;75868;28700;25300;13200;25800;5900;0;0;1000
Carshalton and Wallington;Carshalton and Wallington;London;Sutton;72755;27100;12300;36900;17900;4900;0;0;1000
Castle Point;Castle Point;East of England;Essex;70923;42000;9200;7600;36400;4600;0;0;300
Central Devon;Central Devon;South West;Devon;73491;37300;14000;18900;22000;7000;0;0;900
Central Suffolk and North Ipswich;Central Suffolk and North Ipswich;East of England;Essex;71020;36400;14800;14100;24600;9200;0;0;800
Chatham and Aylesford;Chatham and Aylesford;South East;Kent;74840;32200;24800;7400;28400;6400;0;0;800
Cheadle;Cheadle;North West;Eastern Manchester;73775;24000;13200;42600;13800;4700;0;0;1700
Chelmsford;Chelmsford;East of England;Essex;76454;30000;11300;33800;19400;4600;0;0;1000
Chelsea and Fulham;Chelsea and Fulham;London;Hammersmith and Fulham;76481;31100;33600;17700;9500;6600;0;0;1500
Cheltenham;Cheltenham;South West;Gloucestershire;75292;30400;8400;41400;12200;6600;0;0;1000
Chesham and Amersham;Chesham and Amersham;South East;Buckinghamshire;74155;34000;8700;37400;13900;5000;0;0;1100
Chester North and Neston;Chester North and Neston;North West;Cheshire;72327;23000;38100;11500;17800;9000;0;0;600
Chester South and Eddisbury;Chester South and Eddisbury;North West;Cheshire;71975;41300;17300;16000;17600;5900;0;0;1900
Chesterfield;Chesterfield;East Midlands;Derbyshire;70722;21700;30100;10700;29000;7400;0;0;1200
Chichester;Chichester;South East;West Sussex;76785;31400;9600;32400;20200;6200;0;0;200
Chingford and Woodford Green;Chingford and Woodford Green;London;Waltham Forest;75677;36700;18800;7300;15000;4500;0;0;17600
Chippenham;Chippenham;South West;Wiltshire;71648;29700;9300;34900;20100;5500;0;0;500
Chipping Barnet;Chipping Barnet;London;Barnet;76187;33100;34100;12800;11500;7000;0;0;1500
