Base order;Name;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
1;Aldershot;12;Surrey West and Aldershot;78569;2000;2200;1000;3800;600;000;300;200
2;Aldridge-Brownhills;7;Wolverhampton and Walsall;70871;2500;1300;600;4600;500;000;200;200
3;Altrincham and Sale West;4;Manchester Central and Trafford;74025;1800;2600;1000;2700;1100;000;600;300
4;Amber Valley;8;Derbyshire North;71546;1500;1600;600;4900;700;000;400;200
5;Arundel and South Downs;12;Sussex West;77969;2800;1200;1500;3200;900;000;300;200
6;Ashfield;8;Nottinghamshire North;68929;600;1400;400;6000;600;000;600;500
7;Ashford;12;Kent South;76212;2000;1800;800;4100;800;000;300;300
8;Ashton-under-Lyne;4;Manchester East;71002;800;2100;500;4300;900;000;800;600
9;Aylesbury;12;Buckinghamshire North;79169;1700;2000;1400;3300;900;000;400;300
10;Banbury;12;Oxfordshire;73193;1900;2400;1000;3300;800;000;400;300
11;Barking;11;Dagenham and Redbridge;79825;1100;2300;300;2800;1700;000;600;1100
12;Barnsley North;5;Barnsley and Sheffield West;78267;800;2100;500;4900;800;000;500;400
13;Barnsley South;5;Barnsley and Sheffield West;75850;800;1900;500;5200;800;000;500;400
14;Barrow and Furness;4;Cumbria;74980;1900;2000;800;4200;500;000;400;200
15;Basildon and Billericay;9;Essex South West;76873;2000;1400;600;4800;600;000;300;300
16;Basildon South and East Thurrock;9;Essex South West;72673;1600;1300;500;5300;600;000;300;400
17;Basingstoke;12;Hampshire;78487;2100;2300;900;3400;700;000;300;200
18;Bassetlaw;8;Nottinghamshire North;78173;1600;1800;700;4800;500;000;400;200
19;Bath;10;Avon South;69655;1100;1700;2900;2100;1300;000;600;300
20;Battersea;11;Lambeth and Wandsworth;72767;1600;3200;1100;1600;1300;000;900;300
21;Beaconsfield;12;Buckinghamshire South;72751;2800;1100;2100;3000;500;000;200;200
22;Beckenham and Penge;11;Croydon;76876;1700;3200;1000;2400;1000;000;600;200
23;Bedford;9;Bedfordshire;72478;1300;2600;800;3200;1000;000;500;600
24;Bedfordshire Mid;9;Bedfordshire;76218;2400;1800;1100;3600;600;000;200;300
25;Bedfordshire North;9;Bedfordshire;78850;2700;1700;1200;3500;600;000;200;200
26;Bermondsey and Old Southwark;11;South East London;69473;700;2900;1400;1800;1900;000;800;400
27;Bethnal Green and Stepney;11;Hackney and Tower Hamlets;81922;600;2000;500;1100;2500;000;3400;000
28;Beverley and Holderness;5;East Yorkshire;70559;2100;1700;900;4100;600;000;400;200
29;Bexhill and Battle;12;Sussex East;72209;2400;1500;900;3800;700;000;300;400
30;Bexleyheath and Crayford;11;Bexley and Bromley;69470;2100;1800;600;4300;700;000;300;200
31;Bicester and Woodstock;12;Oxfordshire;74350;2100;1200;2900;2800;600;000;300;200
32;Birkenhead;4;Wirral and Chester North;78091;800;2500;600;3000;1800;000;900;300
33;Birmingham Edgbaston;7;Birmingham South;71787;1400;2700;600;2800;1100;000;700;700
34;Birmingham Erdington;7;Birmingham North;77463;1100;2300;400;4100;900;000;600;600
35;Birmingham Hall Green and Moseley;7;Birmingham South;76936;1100;1900;700;1500;1800;000;3000;000
36;Birmingham Hodge Hill and Solihull North;7;Birmingham North;77737;1000;1700;400;3800;1000;000;600;1600
37;Birmingham Ladywood;7;Birmingham North;83693;700;2400;300;1400;1900;000;3300;000
38;Birmingham Northfield;7;Birmingham South;74048;1300;2200;500;4300;900;000;400;400
39;Birmingham Perry Barr;7;Birmingham North;76350;1100;1900;300;2000;1500;000;3300;000
40;Birmingham Selly Oak;7;Birmingham South;75678;1100;2700;600;3000;1200;000;800;600
41;Birmingham Yardley;7;Birmingham South;73203;900;1900;600;3100;1100;000;700;1700
42;Bishop Auckland;3;County Durham;70745;1200;2100;600;4700;700;000;500;300
43;Blackburn;4;Lancashire East;73259;1000;1400;300;2600;1200;000;3500;000
44;Blackley and Middleton South;4;Manchester North East;72097;800;2500;500;3700;1400;000;700;400
45;Blackpool North and Fleetwood;4;Lancashire West;73339;1800;1800;700;4700;400;000;300;200
46;Blackpool South;4;Lancashire West;77459;800;2100;500;5000;700;000;500;300
47;Blaydon and Consett;3;County Durham;70487;900;2600;700;4200;800;000;700;200
48;Blyth and Ashington;3;Northumberland;76263;900;2400;600;4600;700;000;700;200
49;Bognor Regis and Littlehampton;12;South Coast;77565;2200;1400;1000;4300;600;000;200;200
