Base order;Name;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
1;Aldershot;12;Hampshire;78569;2000;2200;1000;3800;600;000;300;200
2;Aldridge-Brownhills;7;Black Country;70871;3400;800;300;4800;300;000;200;200
3;Altrincham and Sale West;4;Central Manchester;74025;1300;3500;700;3300;700;000;400;300
4;Amber Valley;8;Derbyshire;71546;1500;1600;600;4900;700;000;400;200
5;Arundel and South Downs;12;West Sussex;77969;4200;700;700;3400;600;000;200;200
6;Ashfield;8;Nottinghamshire;68929;300;2100;200;6200;300;000;300;500
7;Ashford;12;Kent;76212;2000;1800;800;4100;800;000;300;300
8;Ashton-under-Lyne;4;Eastern Manchester;71002;300;3600;100;4800;300;000;300;600
9;Aylesbury;12;Buckinghamshire;79169;1700;2000;1400;3300;900;000;400;300
10;Banbury;12;Oxfordshire;73193;1900;2400;1000;3300;800;000;400;300
11;Barking;11;Barking and Dagenham;79825;900;2800;300;2900;1400;000;500;1100
12;Barnsley North;5;South Yorkshire;78267;300;3400;100;5300;300;000;200;400
13;Barnsley South;5;South Yorkshire;75850;300;3100;100;5700;200;000;200;400
14;Barrow and Furness;4;Cumbria;74980;1900;2000;800;4200;500;000;400;200
15;Basildon and Billericay;9;Essex;76873;2300;1200;600;4800;600;000;300;300
16;Basildon South and East Thurrock;9;Essex;72673;1600;1300;500;5300;600;000;300;400
17;Basingstoke;12;Hampshire;78487;2100;2300;900;3400;700;000;300;200
18;Bassetlaw;8;Nottinghamshire;78173;1600;1800;700;4800;500;000;400;200
19;Bath;10;Bristol area;69655;1100;1700;2900;2100;1300;000;600;300
20;Battersea;11;Wandsworth;72767;1600;3200;1100;1600;1300;000;900;300
21;Beaconsfield;12;Buckinghamshire;72751;3500;900;1600;3200;400;000;200;200
22;Beckenham and Penge;11;Bromley;76876;1300;3900;700;2700;700;000;500;200
23;Bedford;9;Bedfordshire;72478;500;4300;200;4000;300;000;200;600
24;Bedfordshire Mid;9;Bedfordshire;76218;2600;1700;1000;3600;500;000;200;300
25;Bedfordshire North;9;Bedfordshire;78850;4000;900;600;3800;400;000;200;200
26;Bermondsey and Old Southwark;11;Southwark;69473;700;2900;1400;1800;1900;000;800;400
27;Bethnal Green and Stepney;11;Tower Hamlets;81922;600;2000;500;1100;2500;000;3400;000
28;Beverley and Holderness;5;Humber area;70559;2100;1700;900;4100;600;000;400;200
29;Bexhill and Battle;12;East Sussex;72209;3300;1000;500;4000;500;000;200;400
30;Bexleyheath and Crayford;11;Bexley;69470;2100;1800;600;4300;700;000;300;200
31;Bicester and Woodstock;12;Oxfordshire;74350;1600;900;3600;3100;400;000;200;200
32;Birkenhead;4;Merseyside;78091;500;3600;400;3300;1200;000;600;300
33;Birmingham Edgbaston;7;Birmingham;71787;500;4300;200;3700;300;000;300;700
34;Birmingham Erdington;7;Birmingham;77463;400;3600;100;4700;300;000;200;600
35;Birmingham Hall Green and Moseley;7;Birmingham;76936;1100;1900;700;1500;1800;000;3000;000
36;Birmingham Hodge Hill and Solihull North;7;Birmingham;77737;1000;1700;400;3800;1000;000;600;1600
37;Birmingham Ladywood;7;Birmingham;83693;700;2400;300;1400;1900;000;3300;000
38;Birmingham Northfield;7;Birmingham;74048;600;3300;200;5000;400;000;200;400
39;Birmingham Perry Barr;7;Birmingham;76350;1100;1900;300;2000;1500;000;3300;000
40;Birmingham Selly Oak;7;Birmingham;75678;400;4500;200;3700;400;000;300;600
41;Birmingham Yardley;7;Birmingham;73203;900;1900;600;3100;1100;000;700;1700
42;Bishop Auckland;3;Durham;70745;600;3100;200;5300;300;000;200;300
43;Blackburn;4;Lancashire;73259;1000;1400;300;2600;1200;000;3500;000
44;Blackley and Middleton South;4;Central Manchester;72097;300;4200;100;4200;400;000;300;400
45;Blackpool North and Fleetwood;4;Lancashire;73339;1800;1800;700;4700;400;000;300;200
46;Blackpool South;4;Lancashire;77459;300;3300;100;5500;200;000;200;300
47;Blaydon and Consett;3;Durham;70487;300;4100;200;4700;200;000;300;200
48;Blyth and Ashington;3;Northumberland;76263;300;3700;100;5100;200;000;300;200
49;Bognor Regis and Littlehampton;12;West Sussex;77565;2900;1100;700;4400;500;000;200;200
50;Bolsover;8;Derbyshire;77207;700;2700;300;5300;500;000;300;200
51;Bolton North East;4;Western Manchester;80011;700;2800;300;4600;700;000;400;500
52;Bolton South and Walkden;4;Western Manchester;79622;300;3400;100;4500;400;000;400;800
53;Bolton West;4;Western Manchester;74933;1900;2000;800;3900;800;000;400;200
54;Bootle;4;Merseyside;73037;200;5000;100;3600;400;000;300;400
55;Boston and Skegness;8;Lincolnshire;75811;2400;400;200;6200;300;000;200;200
56;Bournemouth East;10;Dorset;72354;1000;3400;500;4000;500;000;300;300
57;Bournemouth West;10;Dorset;70259;1900;2000;1100;3800;700;000;300;200
58;Bracknell;12;Berkshire;71656;2200;1800;1200;3700;600;000;300;200
59;Bradford East;5;West Yorkshire;75167;900;1900;500;2700;1500;000;2500;000
60;Bradford South;5;West Yorkshire;71002;800;2100;400;4300;900;000;700;800
61;Bradford West;5;West Yorkshire;77897;900;1500;300;1900;1900;000;3500;000
62;Braintree;9;Essex;77781;3400;800;400;4600;400;000;200;200
63;Brent East;11;Brent;77257;1400;2900;600;1800;1600;000;700;1000
64;Brent West;11;Brent;79937;1900;2500;500;2400;1300;000;700;800
65;Brentford and Isleworth;11;Hounslow;79283;600;4500;200;3300;400;000;300;700
66;Brentwood and Ongar;9;Essex;75352;3600;700;500;4400;300;000;200;200
67;Bridgwater;10;Somerset;71571;2100;1400;1300;4400;400;000;200;200
68;Bridlington and the Wolds;5;Humber area;72931;2700;900;500;4900;400;000;300;300
69;Brigg and Immingham;5;Humber area;74297;2900;900;400;5000;400;000;300;200
70;Brighton Kemptown and Peacehaven;12;East Sussex;68784;1300;2700;900;2100;1700;000;900;400
71;Brighton Pavilion;12;East Sussex;74786;800;2000;500;1100;4200;000;1100;200
72;Bristol Central;10;Bristol area;62735;500;2300;500;800;4600;000;1100;200
73;Bristol East;10;Bristol area;75917;1200;2600;700;1600;2700;000;800;400
74;Bristol North East;10;Bristol area;70076;400;4700;200;3600;500;000;300;400
75;Bristol North West;10;Bristol area;74869;700;4400;600;2700;900;000;500;200
76;Bristol South;10;Bristol area;75533;700;2900;600;3100;1700;000;900;200
77;Broadland and Fakenham;9;Norfolk;76859;2300;1800;1200;3700;600;000;200;200
78;Bromley and Biggin Hill;11;Bromley;70713;2500;2000;1100;3400;600;000;300;200
79;Bromsgrove;7;Hereford and Worcestershire;76468;3300;1000;800;4000;400;000;200;300
80;Broxbourne;9;Hertfordshire;75187;3300;900;400;4400;500;000;200;200
81;Broxtowe;8;Nottinghamshire;71923;500;4000;200;4500;300;000;200;300
82;Buckingham and Bletchley;12;Buckinghamshire;74832;1800;2300;900;3500;800;000;300;300
83;Buckinghamshire Mid;12;Buckinghamshire;75415;3400;900;1500;3200;600;000;200;200
84;Burnley;4;Lancashire;74951;1100;1800;1300;4100;800;000;700;300
85;Burton and Uttoxeter;7;Staffordshire;77994;2200;1600;600;4200;700;000;300;400
86;Bury North;4;Western Manchester;77703;800;3300;300;4400;400;000;300;500
87;Bury South;4;Western Manchester;75339;400;3900;200;4500;300;000;300;400
88;Bury St Edmunds and Stowmarket;9;Suffolk;77599;2200;1800;800;3600;1000;000;400;300
89;Calder Valley;5;West Yorkshire;77364;500;4100;200;4400;300;000;200;200
90;Camborne and Redruth;10;Cornwall;74402;500;3900;200;4700;200;000;100;300
91;Cambridge;9;Cambridgeshire;70315;1000;3000;1400;1300;2100;000;700;400
92;Cambridgeshire North East;9;Cambridgeshire;71511;3400;500;300;5000;300;000;200;300
93;Cambridgeshire North West;9;Cambridgeshire;75915;2300;1600;700;4100;800;000;300;200
94;Cambridgeshire South;9;Cambridgeshire;77327;600;400;5000;3300;300;000;200;200
95;Cannock Chase;7;Staffordshire;76974;1900;1600;500;4900;600;000;300;200
96;Canterbury;12;Kent;71171;500;4500;200;4000;400;000;200;200
97;Carlisle;4;Cumbria;77863;1800;1900;900;4300;500;000;400;200
98;Carshalton and Wallington;11;Sutton;74362;400;300;4500;4100;200;000;200;300
99;Castle Point;9;Essex;70967;3100;600;200;5400;300;000;100;200
100;Chatham and Aylesford;12;Kent;75109;1900;1600;600;4500;700;000;300;300
101;Cheadle;4;Eastern Manchester;74383;400;300;5300;3400;200;000;200;200
102;Chelmsford;9;Essex;76972;1600;700;3400;3500;400;000;200;200
103;Chelsea and Fulham;11;Hammersmith and Fulham;78468;2300;2600;900;2300;1100;000;500;300
104;Cheltenham;10;Gloucestershire;76143;1900;900;3300;2300;1000;000;300;200
105;Chesham and Amersham;12;Buckinghamshire;74889;2500;800;3100;2600;500;000;200;200
106;Cheshire Mid;4;Cheshire;70384;400;3800;200;4800;200;000;200;300
107;Chester North and Neston;4;Cheshire;70215;500;4600;200;3900;300;000;300;200
