Seat Name;County;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Aldershot;Hampshire;12;2255;1936;1162;2486;1522;000;000;639;Reform
Aldridge-Brownhills;Black Country;7;2668;1530;685;3373;866;000;000;878;Reform
Altrincham and Sale West;Central Manchester;4;2714;2452;855;1688;1767;000;524;000;CON
Amber Valley;Derbyshire;8;1910;2085;588;3310;1353;000;000;754;Reform
Arundel and South Downs;West Sussex;12;2581;1068;1456;2953;1324;000;000;618;Reform
Ashfield;Nottinghamshire;8;879;1508;401;4781;1128;000;1303;000;Reform
Ashford;Kent;12;1872;1504;850;3195;1844;000;000;735;Reform
Ashton-under-Lyne;Eastern Manchester;4;1078;2254;450;3220;1868;000;1131;000;Reform
Aylesbury;Buckinghamshire;12;2380;1480;1985;1943;1611;000;491;110;CON
Banbury;Oxfordshire;12;2695;2006;866;2406;1210;000;000;817;CON
Barking;Barking and Dagenham;11;1104;2064;363;2268;2723;000;1107;372;Green
Barnsley North;South Yorkshire;5;867;2427;478;3803;1443;000;000;982;Reform
Barnsley South;South Yorkshire;5;893;2219;449;4118;1338;000;000;984;Reform
Barrow and Furness;Cumbria;4;2396;2290;507;3067;1133;000;000;607;Reform
Basildon and Billericay;Essex;9;2551;1440;549;3526;964;000;000;970;Reform
Basildon South and East Thurrock;Essex;9;2054;1413;539;3796;1057;000;000;1140;Reform
Basingstoke;Hampshire;12;2176;1974;1072;2375;1826;000;000;577;Reform
Bassetlaw;Nottinghamshire;8;1882;1951;689;3674;1362;000;000;441;Reform
Bath;Bristol area;10;1361;1255;2811;1330;2447;000;084;712;LIB
Battersea;Wandsworth;11;1825;2839;974;964;2713;000;270;415;LAB
Beaconsfield;Buckinghamshire;12;3094;1018;2094;2236;875;000;000;683;CON
Beckenham and Penge;Bromley;11;2039;2893;957;1440;2014;000;000;657;LAB
Bedford;Bedfordshire;9;1904;2167;963;1975;1956;000;422;612;LAB
Bedfordshire Mid;Bedfordshire;9;2827;1686;828;2729;1102;000;000;827;CON
Bedfordshire North;Bedfordshire;9;2849;1469;1112;2986;1044;000;000;540;Reform
Bermondsey and Old Southwark;Southwark;11;842;2416;1317;1313;3408;000;000;704;Green
Bethnal Green and Stepney;Tower Hamlets;11;569;1771;726;852;4148;000;000;1935;Green
Beverley and Holderness;Humber area;5;2993;1860;815;2706;1010;000;000;616;CON
Bexhill and Battle;East Sussex;12;2740;1439;747;3149;943;000;000;982;Reform
Bexleyheath and Crayford;Bexley;11;2767;1882;593;2777;1089;000;000;892;Reform
Bicester and Woodstock;Oxfordshire;12;2171;945;3030;1941;1422;000;000;491;LIB
Birkenhead;Merseyside;4;609;2531;496;2376;3277;000;000;710;Green
Birmingham Edgbaston;Birmingham;7;1836;2360;724;1656;2226;000;000;1198;LAB
Birmingham Erdington;Birmingham;7;1278;2050;450;2888;1792;000;000;1543;Reform
Birmingham Hall Green and Moseley;Birmingham;7;928;1869;756;1034;3001;000;000;2413;Green
Birmingham Hodge Hill and Solihull North;Birmingham;7;1037;1550;360;2634;2059;000;2361;000;Reform
Birmingham Ladywood;Birmingham;7;627;2093;373;1031;3798;000;000;2078;Green
Birmingham Northfield;Birmingham;7;1826;1994;615;2764;1738;000;000;1063;Reform
Birmingham Perry Barr;Birmingham;7;1170;1754;458;1333;2671;000;000;2614;Green
Birmingham Selly Oak;Birmingham;7;1129;2235;553;2218;2602;000;000;1263;Green
Birmingham Yardley;Birmingham;7;1123;1468;855;1840;2311;000;2404;000;MIN
Bishop Auckland;Durham;3;1807;2432;654;3232;1298;000;000;577;Reform
Blackburn;Lancashire;4;954;1660;383;1902;2415;000;2685;000;MIN
Blackley and Middleton South;Central Manchester;4;919;2605;438;2914;2371;000;000;753;Reform
Blackpool North and Fleetwood;Lancashire;4;1982;2073;726;3421;1250;000;000;547;Reform
Blackpool South;Lancashire;4;1189;2348;460;3561;1418;000;000;1023;Reform
Blaydon and Consett;Durham;3;1121;2840;624;3175;1597;000;000;643;Reform
Blyth and Ashington;Northumberland;3;1091;2680;562;3496;1560;000;000;612;Reform
Bognor Regis and Littlehampton;West Sussex;12;2711;1405;864;3335;855;000;000;830;Reform
Bolsover;Derbyshire;8;1846;2099;537;3312;1566;000;000;640;Reform
Bolton North East;Western Manchester;4;1809;2190;597;2344;2048;000;718;294;Reform
Bolton South and Walkden;Western Manchester;4;1028;2061;430;3003;2153;000;1213;112;Reform
Bolton West;Western Manchester;4;2181;1909;917;2651;1904;000;000;437;Reform
Bootle;Merseyside;4;607;3633;503;2397;2138;000;722;000;LAB
Boston and Skegness;Lincolnshire;8;2547;909;442;4747;628;000;000;727;Reform
Bournemouth East;Dorset;10;1944;1904;1009;2551;1872;000;000;720;Reform
