Seat Name;County;Electorate;Area;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;Winner
Aldershot;Surrey West and Aldershot;78569;12;2255;1936;1162;2486;1522;0;0;639;Reform
Aldridge-Brownhills;Wolverhampton and Walsall;72009;7;2668;1530;685;3373;866;0;0;878;Reform
Altrincham and Sale West;Manchester Central and Trafford;74025;4;2714;2452;855;1688;1767;0;524;0;CON
Amber Valley;Derbyshire North;71653;8;1910;2085;588;3310;1353;0;0;754;Reform
Arundel and South Downs;Sussex West;77929;12;2581;1068;1456;2953;1324;0;0;618;Reform
Ashfield;Nottinghamshire North;68958;8;879;1508;401;4781;1128;0;1303;0;Reform
Ashford;Kent South;76212;12;1872;1504;850;3195;1844;0;0;735;Reform
Ashton-under-Lyne;Manchester East;71258;4;1078;2254;450;3220;1868;0;1131;0;Reform
Aylesbury;Buckinghamshire North;78712;12;2380;1480;1985;1943;1611;0;491;110;CON
Banbury;Oxfordshire;73194;12;2695;2006;866;2406;1210;0;0;817;CON
Barking;Dagenham and Redbridge;80608;11;1104;2064;363;2268;2723;0;1107;372;Green
Barnsley North;Barnsley and Sheffield West;78364;5;867;2427;478;3803;1443;0;0;982;Reform
Barnsley South;Barnsley and Sheffield West;75839;5;893;2219;449;4118;1338;0;0;984;Reform
Barrow and Furness;Cumbria;75100;4;2396;2290;507;3067;1133;0;0;607;Reform
Basildon and Billericay;Essex South West;76109;9;2551;1440;549;3526;964;0;0;970;Reform
Basildon South and East Thurrock;Essex South West;73673;9;2054;1413;539;3796;1057;0;0;1140;Reform
Basingstoke;Hampshire;79534;12;2176;1974;1072;2375;1826;0;0;577;Reform
Bassetlaw;Nottinghamshire North;78174;8;1882;1951;689;3674;1362;0;0;441;Reform
Bath;Avon South;69656;10;1361;1255;2811;1330;2447;0;84;712;LIB
Battersea;Lambeth and Wandsworth;73388;11;1825;2839;974;964;2713;0;270;415;LAB
Beaconsfield;Buckinghamshire South;73355;12;3094;1018;2094;2236;875;0;0;683;CON
Beckenham and Penge;Croydon;76534;11;2039;2893;957;1440;2014;0;0;657;LAB
Bedford;Bedfordshire;72601;9;1904;2167;963;1975;1956;0;422;612;LAB
Bedfordshire Mid;Bedfordshire;76212;9;2827;1686;828;2729;1102;0;0;827;CON
Bedfordshire North;Bedfordshire;78473;9;2849;1469;1112;2986;1044;0;0;540;Reform
Bermondsey and Old Southwark;South East London;69474;11;842;2416;1317;1313;3408;0;0;704;Green
Bethnal Green and Stepney;Hackney and Tower Hamlets;81921;11;569;1771;726;852;4148;0;0;1935;Green
Beverley and Holderness;East Yorkshire;70560;5;2993;1860;815;2706;1010;0;0;616;CON
Bexhill and Battle;Sussex East;72208;12;2740;1439;747;3149;943;0;0;982;Reform
Bexleyheath and Crayford;Bexley and Bromley;69470;11;2767;1882;593;2777;1089;0;0;892;Reform
Bicester and Woodstock;Oxfordshire;74350;12;2171;945;3030;1941;1422;0;0;491;LIB
Birkenhead;Wirral and Chester North;78091;4;609;2531;496;2376;3277;0;0;710;Green
Birmingham Edgbaston;Birmingham South;71788;7;1836;2360;724;1656;2226;0;0;1198;LAB
Birmingham Erdington;Birmingham North;77919;7;1278;2050;450;2888;1792;0;0;1543;Reform
Birmingham Hall Green and Moseley;Birmingham South;76428;7;928;1869;756;1034;3001;0;0;2413;Green
Birmingham Hodge Hill and Solihull North;Birmingham North;78086;7;1037;1550;360;2634;2059;0;2361;0;Reform
Birmingham Ladywood;Birmingham North;83693;7;627;2093;373;1031;3798;0;0;2078;Green
Birmingham Northfield;Birmingham South;73006;7;1826;1994;615;2764;1738;0;0;1063;Reform
Birmingham Perry Barr;Birmingham North;75895;7;1170;1754;458;1333;2671;0;0;2614;Green
Birmingham Selly Oak;Birmingham South;77228;7;1129;2235;553;2218;2602;0;0;1263;Green
Birmingham Yardley;Birmingham South;73203;7;1123;1468;855;1840;2311;0;2404;0;MIN
Bishop Auckland;County Durham;70414;3;1807;2432;654;3232;1298;0;0;577;Reform
Blackburn;Lancashire East;73256;4;954;1660;383;1902;2415;0;2685;0;MIN
Blackley and Middleton South;Manchester North East;73078;4;919;2605;438;2914;2371;0;0;753;Reform
Blackpool North and Fleetwood;Lancashire West;73036;4;1982;2073;726;3421;1250;0;0;547;Reform
Blackpool South;Lancashire West;77762;4;1189;2348;460;3561;1418;0;0;1023;Reform
Blaydon and Consett;County Durham;71025;3;1121;2840;624;3175;1597;0;0;643;Reform
Blyth and Ashington;Northumberland;76432;3;1091;2680;562;3496;1560;0;0;612;Reform
Bognor Regis and Littlehampton;South Coast;77707;12;2711;1405;864;3335;855;0;0;830;Reform
Bolsover;Derbyshire North;77207;8;1846;2099;537;3312;1566;0;0;640;Reform
Bolton North East;Manchester North West;81016;4;1809;2190;597;2344;2048;0;718;294;Reform
Bolton South and Walkden;Manchester North West;78624;4;1028;2061;430;3003;2153;0;1213;112;Reform
Bolton West;Manchester North West;74927;4;2181;1909;917;2651;1904;0;0;437;Reform
Bootle;Merseyside East and Liverpool;73037;4;607;3633;503;2397;2138;0;722;0;LAB
Boston and Skegness;Lincolnshire South;75813;8;2547;909;442;4747;628;0;0;727;Reform
Bournemouth East;Bournemouth;72354;10;1944;1904;1009;2551;1872;0;0;720;Reform
Bournemouth West;Bournemouth;70258;10;1980;1620;1260;2629;1871;0;0;640;Reform
Bracknell;Berkshire;73125;12;2750;1645;881;2760;1165;0;0;799;Reform
Bradford East;Bradford;75684;5;1003;2034;620;1789;2672;0;0;1883;Green
Bradford South;Bradford;70469;5;1062;1852;417;2980;2202;0;166;1321;Reform
Bradford West;Bradford;77898;5;848;1869;409;1203;3295;0;0;2377;Green
Braintree;Essex North;77779;9;2538;1382;761;3681;926;0;0;713;Reform
Brent East;Brent Harrow Barnet;77258;11;1222;2672;548;1607;2784;0;330;837;Green
Brent West;Brent Harrow Barnet;79936;11;3069;2073;614;1421;1857;0;967;0;CON
Brentford and Isleworth;South West London;79283;11;2009;2335;844;1523;2250;0;882;156;LAB
