Country;Constituency;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
England;Amber Valley;East Midlands;Derbyshire;70625;2900;3400;600;2500;500;0;0;000
England;Ashfield;East Midlands;Nottinghamshire;69819;1100;3100;400;3300;500;0;0;1600
England;Bassetlaw;East Midlands;Nottinghamshire;75773;3000;4200;600;2000;200;0;0;000
England;Bolsover;East Midlands;Derbyshire;74680;2000;4300;400;2800;500;0;0;000
England;Boston and Skegness;East Midlands;Lincolnshire;75806;3500;2300;400;3400;300;0;0;100
England;Broxtowe;East Midlands;Nottinghamshire;72461;2000;4300;700;2200;800;0;0;000
England;Chesterfield;East Midlands;Derbyshire;70722;1600;5300;600;1500;800;0;0;100
England;Corby and East Northamptonshire;East Midlands;Northamptonshire;76748;2600;4600;500;1800;400;0;0;100
England;Daventry;East Midlands;Northamptonshire;76539;3700;2900;1400;1700;400;0;0;000
England;Derby North;East Midlands;Derbyshire;71876;2400;5000;400;1400;700;0;0;000
England;Derby South;East Midlands;Derbyshire;72067;1500;4100;800;2200;800;0;0;600
England;Derbyshire Dales;East Midlands;Derbyshire;71435;3200;4200;700;1500;400;0;0;000
England;Erewash;East Midlands;Derbyshire;71986;2600;4300;500;2000;500;0;0;100
England;Gainsborough;East Midlands;Lincolnshire;74750;3700;2900;800;2200;400;0;0;000
England;Gedling;East Midlands;Nottinghamshire;75795;2200;5600;400;1400;400;0;0;100
England;Grantham and Bourne;East Midlands;Lincolnshire;72071;3400;3100;600;2200;600;0;0;200
England;Harborough, Oadby and Wigston;East Midlands;Leicestershire;74810;3700;3300;1300;1100;500;0;0;100
England;High Peak;East Midlands;Derbyshire;73960;2300;5200;300;1400;800;0;0;000
England;Hinckley and Bosworth;East Midlands;Leicestershire;75683;3700;1800;2600;1400;400;0;0;100
England;Kettering;East Midlands;Northamptonshire;76163;3100;3700;500;2000;800;0;0;000
England;Leicester East;East Midlands;Leicestershire;76465;2300;3700;900;1000;700;0;0;1400
England;Leicester South;East Midlands;Leicestershire;71007;1200;4500;500;800;1100;0;0;2000
England;Leicester West;East Midlands;Leicestershire;76992;1500;4700;800;1800;1000;0;0;200
England;Lincoln;East Midlands;Lincolnshire;74128;2100;4800;600;2000;500;0;0;000
England;Loughborough;East Midlands;Leicestershire;73902;2500;5100;500;1500;500;0;0;000
England;Louth and Horncastle;East Midlands;Lincolnshire;75959;4100;2600;500;2500;300;0;0;100
England;Mansfield;East Midlands;Nottinghamshire;74680;3200;4300;400;1800;300;0;0;000
England;Melton and Syston;East Midlands;Leicestershire;71615;3400;3000;700;2000;800;0;0;100
England;Mid Derbyshire;East Midlands;Derbyshire;70085;3300;4200;600;1400;500;0;0;000
England;Mid Leicestershire;East Midlands;Leicestershire;76173;3300;4200;600;1500;400;0;0;000
England;Newark;East Midlands;Nottinghamshire;76478;3900;4000;400;1200;400;0;0;000
England;North East Derbyshire;East Midlands;Derbyshire;72344;3100;4200;600;1700;500;0;0;000
England;North West Leicestershire;East Midlands;Leicestershire;75373;3000;4100;700;1500;500;0;0;100
England;Northampton North;East Midlands;Northamptonshire;75713;2000;5300;400;1800;500;0;0;000
England;Northampton South;East Midlands;Northamptonshire;71512;2900;4300;500;1800;400;0;0;000
England;Nottingham East;East Midlands;Nottinghamshire;75327;900;6200;500;900;1300;0;0;100
England;Nottingham North and Kimberley;East Midlands;Nottinghamshire;74515;1600;4800;400;2300;900;0;0;000
England;Nottingham South;East Midlands;Nottinghamshire;76076;1200;5000;1000;1400;1200;0;0;100
England;Rushcliffe;East Midlands;Nottinghamshire;76171;2600;5000;600;1300;400;0;0;100
England;Rutland and Stamford;East Midlands;Leicestershire;70864;4400;2000;1600;1500;400;0;0;100
England;Sherwood Forest;East Midlands;Nottinghamshire;76543;2900;3200;600;2500;700;0;0;000
England;Sleaford and North Hykeham;East Midlands;Lincolnshire;73380;3400;3100;600;2400;300;0;0;000
England;South Derbyshire;East Midlands;Derbyshire;71202;3100;3600;400;2300;500;0;0;100
England;South Holland and the Deepings;East Midlands;Lincolnshire;76139;3900;2800;600;2400;300;0;0;000
England;South Leicestershire;East Midlands;Leicestershire;75634;3600;2600;1600;1900;400;0;0;000
England;South Northamptonshire;East Midlands;Northamptonshire;76555;3200;3100;900;2000;700;0;0;100
England;Wellingborough and Rushden;East Midlands;Northamptonshire;76669;2600;3700;900;2300;500;0;0;000
England;Basildon and Billericay;East of England;Essex;76993;2500;3300;500;2900;600;0;0;100
England;Bedford;East of England;Bedfordshire;70068;2000;4900;900;1300;900;0;0;000
England;Braintree;East of England;Essex;75662;3600;3100;600;2300;400;0;0;000
England;Brentwood and Ongar;East of England;Essex;74937;3900;2500;1100;1800;500;0;0;100
England;Broadland and Fakenham;East of England;Norfolk;72907;3500;3700;800;1600;400;0;0;000
England;Broxbourne;East of England;Hertfordshire;75454;3400;3200;800;2100;500;0;0;000
England;Bury St Edmunds and Stowmarket;East of England;Suffolk;75655;3400;3400;500;1600;1000;0;0;100
England;Cambridge;East of England;Cambridgeshire;72560;800;4800;2900;000;1400;0;0;100
England;Castle Point;East of England;Essex;70923;4100;2400;500;2800;300;0;0;000
England;Central Suffolk and North Ipswich;East of England;Essex;71020;3200;3300;800;2100;600;0;0;000
England;Chelmsford;East of England;Essex;76454;2600;1400;4000;1700;300;0;0;000
England;Clacton;East of England;Essex;75959;3000;1900;500;4000;600;0;0;100
England;Colchester;East of England;Essex;76843;2200;5000;900;1400;400;0;0;100
England;Dunstable and Leighton Buzzard;East of England;Bedfordshire;74069;2600;3400;1300;2100;500;0;0;100
England;Ely and East Cambridgeshire;East of England;Cambridgeshire;76279;2900;1200;4000;1500;300;0;0;000
