Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH
Aldershot;Leo Docherty;12;Surrey West and Aldershot;77531;29801;11631;8333;0;1820;0;0;37
Aldridge-Brownhills;Wendy Morton;7;Wolverhampton and Walsall;72512;32522;10230;2704;394;852;0;0;364
Altrincham and Sale West;Graham Brady;4;Manchester Central and Trafford;73107;26311;20172;6037;0;1565;0;0;679
Amber Valley;Nigel Mills;8;Derbyshire North;70045;29125;12226;2875;0;1389;0;0;0
Arundel and South Downs;Andrew Griffith;12;Sussex West;76681;34382;8265;11413;0;2256;0;0;558
Ashfield;Lee Anderson;8;Nottinghamshire North;69549;17507;10297;820;2205;529;0;12210;26
Ashford;Damian Green;12;Kent South;73390;29102;11862;5264;0;2275;0;0;678
Ashton-under-Lyne;Angela Rayner;4;Manchester East;71709;14986;19961;1319;3378;1267;0;0;73
Aylesbury;Rob Butler;12;Buckinghamshire North;76209;27464;13349;11633;261;1551;0;0;182
Banbury;Victoria Prentis;12;Oxfordshire;69699;25582;12744;9266;0;1556;0;0;0
Barking;Margaret Hodge;11;Dagenham and Redbridge;71151;10722;24900;1353;2888;751;0;0;0
Barnsley North;Dan Jarvis;5;Barnsley and Sheffield West;76552;9998;17124;1306;12819;943;0;0;767
Barnsley South;Stephanie Peacock;5;Barnsley and Sheffield West;75635;11305;16213;1460;11287;879;0;0;575
Barrow and Furness;Simon Fell;4;Cumbria;78041;27394;19726;2211;1355;793;0;0;0
Basildon and Billericay;John Baron;9;Essex South West;76681;31817;10621;3850;0;1395;0;343;224
Basildon South and East Thurrock;Stephen Metcalfe;9;Essex South West;73037;29435;9945;1884;0;53;0;2944;93
Basingstoke;Maria Miller;12;Hampshire;77260;27256;14602;6691;0;2077;0;0;639
Bassetlaw;Brendan Clarke-Smith;8;Nottinghamshire North;76595;26595;13664;3226;5176;0;0;0;0
Bath;Wera Hobhouse;10;Avon South;73515;18033;7364;29921;643;141;0;0;401
Battersea;Marsha De Cordova;11;Lambeth and Wandsworth;71971;19343;25124;8223;347;1364;0;0;0
Beaconsfield;Joy Morrissey;12;Buckinghamshire South;71573;29544;5382;0;0;1941;0;15643;781
Beckenham and Penge;Bob Stewart;11;Croydon;76436;22012;21605;8634;474;2246;0;0;59
Bedford;Mohammad Yasin;9;Bedfordshire;71098;20004;20533;4636;881;961;0;16;0
Bedfordshire Mid;Nadine Dorries;9;Bedfordshire;70946;31150;11083;6872;1;2018;0;0;1170
Bedfordshire North;Richard Fuller;9;Bedfordshire;76467;32479;11154;7376;15;1615;0;2158;24
Bermondsey and Old Southwark;Neil Coyle;11;South East London;71073;7799;21981;13602;1275;21;0;0;0
Bethnal Green and Stepney;Rushanara Ali;11;Hackney and Tower Hamlets;76294;5427;38303;5004;890;2145;0;0;397
Beverley and Holderness;Graham Stuart;5;East Yorkshire;71221;29546;11673;4420;0;1099;0;0;1113
Bexhill and Battle;Huw Merriman;12;Sussex East;70305;31719;10212;6299;0;2117;0;0;113
Bexleyheath and Crayford;David Evennett;11;Bexley and Bromley;68825;27026;13129;2818;462;1204;0;0;487
Bicester and Woodstock;Unknown (new seat);12;Oxfordshire;70137;27079;8698;13426;365;1171;0;0;0
Birkenhead;Mick Whitley;4;Wirral and Chester North;75675;8221;30308;2218;1757;1594;0;7283;0
Birmingham Edgbaston;Preet Gill;7;Birmingham South;73255;16019;23086;3373;1085;1123;0;0;0
Birmingham Erdington;Jack Dromey;7;Birmingham North;78252;17024;21193;1568;1738;770;0;0;20
Birmingham Hall Green and Moseley;Tahir Ali;7;Birmingham South;77165;7495;33851;3627;874;836;0;3828;0
Birmingham Hodge Hill and Solihull North;Liam Byrne;7;Birmingham North;77784;13310;27847;1977;1431;1051;0;0;130
Birmingham Ladywood;Shabana Mahmood;7;Birmingham North;78301;4206;36582;1895;889;910;0;391;65
Birmingham Northfield;Gary Sambrook;7;Birmingham South;74909;20178;18755;2023;1675;975;0;0;252
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham North;75301;9240;30092;2193;1243;827;0;0;129
Birmingham Selly Oak;Steve McCabe;7;Birmingham South;81511;15272;27225;3090;1422;1792;0;48;1
Birmingham Yardley;Jess Phillips;7;Birmingham South;73100;11843;23833;3417;2078;567;0;6;61
Bishop Auckland;Dehenna Davison;3;County Durham;70578;23704;17124;1878;2882;287;0;0;571
Blackburn;Kate Hollern;4;Lancashire East;69792;10343;28665;1097;2708;730;0;0;309
Blackley and Middleton South;Graham Stringer;4;Manchester North East;70878;10229;22486;1634;3535;867;0;0;18
Blackpool North and Fleetwood;Paul Maynard;4;Lancashire West;75797;26664;17436;1709;941;937;0;0;370
Blackpool South;Scott Benton;4;Lancashire West;77039;21944;17724;1530;2007;845;0;0;485
Blaydon and Consett;Unknown (changed seat);3;County Durham;70058;16808;19901;2586;4800;1454;0;0;1166
Blyth and Ashington;Ian Lavery;3;Northumberland;75298;16967;22717;2362;4481;1312;0;0;157
Bognor Regis and Littlehampton;Nick Gibb;12;South Coast;76860;32053;10226;6163;0;1692;0;0;1082
Bolsover;Mark Fletcher;8;Derbyshire North;74427;21846;16556;1758;4140;760;0;0;985
Bolton North East;Mark Logan;4;Manchester North West;77252;22245;21474;2125;2645;754;0;0;0
Bolton South and Walkden;Yasmin Qureshi;4;Manchester North West;76112;14176;24863;1702;3008;1129;0;0;0
Bolton West;Chris Green;4;Manchester North West;72183;26077;17475;2802;391;1013;0;0;0
Bootle;Peter Dowd;4;Merseyside East and Liverpool;74832;4509;39066;1823;2611;1166;0;0;0
Boston and Skegness;Matt Warman;8;Lincolnshire South;75021;34535;7201;2196;0;0;0;0;1498
Bournemouth East;Tobias Ellwood;10;Bournemouth;74219;24958;16140;5422;0;2051;0;0;760
