Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (LAB gain from CON);12;Hampshire;72617;13920;15814;4079;5029;2321;0;0;338;0.371;0.624;0.001;0.003;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;14295;11609;1640;4576;1338;0;0;338;0.703;0.296;0.000;0.000;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;12805;21510;2881;7021;4044;0;0;611;0.107;0.887;0.000;0.004;0.000;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;11812;17544;1226;5363;2586;0;0;371;0.170;0.829;0.000;0.001;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;17804;13896;10545;7820;5063;0;0;270;0.618;0.279;0.077;0.025;0.001;0.000;0.000;0.000
Ashfield;Unknown (LAB gain from CON);8;Nottinghamshire;78204;4543;12381;1141;7750;1576;0;11232;2133;0.054;0.515;0.001;0.287;0.005;0.000;0.135;0.001
Ashford;Unknown (LAB gain from CON);12;Kent;89553;17143;17432;4029;7247;3968;0;0;547;0.478;0.516;0.001;0.005;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;5091;20181;666;4370;1821;0;0;433;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;16253;19272;7711;6395;2960;0;0;347;0.356;0.630;0.010;0.004;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;15911;22589;5904;6804;3668;0;0;394;0.210;0.782;0.004;0.003;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;3167;24098;525;3465;1685;0;0;337;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;3827;19095;860;6720;1912;0;0;715;0.000;0.993;0.000;0.007;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;4362;18722;875;6961;1896;0;0;651;0.002;0.992;0.000;0.006;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;9487;21081;1255;5374;2064;0;0;382;0.029;0.970;0.000;0.001;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;15180;14432;1981;4739;2157;0;0;332;0.552;0.445;0.000;0.003;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;12942;15253;1878;5819;1698;0;0;669;0.351;0.639;0.000;0.009;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;13658;20489;4167;6064;3126;0;0;499;0.175;0.821;0.002;0.001;0.000;0.000;0.000;0.000
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;11414;20854;1382;7198;2013;0;0;490;0.071;0.922;0.000;0.007;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;7409;10759;23055;5071;2759;0;0;294;0.008;0.036;0.952;0.003;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;10541;18502;943;4057;876;0;4420;979;0.092;0.900;0.000;0.008;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;9158;30812;2698;5896;4119;0;0;376;0.004;0.996;0.000;0.000;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;18220;10528;11059;6926;3098;0;0;502;0.761;0.111;0.113;0.014;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;14991;17875;3947;5847;3101;0;0;354;0.330;0.667;0.000;0.002;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;7720;20793;2213;4972;2520;0;0;394;0.016;0.983;0.000;0.001;0.000;0.000;0.000;0.000
Bedfordshire Mid;Unknown (LAB gain from CON);9;Bedfordshire;87795;16821;18866;8264;6709;2267;0;1252;510;0.389;0.586;0.014;0.010;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;17009;20690;6240;7696;3287;0;0;553;0.321;0.667;0.002;0.009;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;13686;19064;4242;6534;3099;0;0;534;0.205;0.790;0.000;0.005;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;3507;30615;7749;5660;3583;0;0;357;0.000;0.999;0.001;0.000;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Unknown (LAB gain from CON);3;Northumberland;59939;10722;11740;5372;5207;1884;0;0;144;0.396;0.570;0.014;0.019;0.000;0.000;0.000;0.000
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;1749;36879;1163;4133;3200;0;0;614;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;14675;18807;4106;8016;2574;0;0;409;0.271;0.710;0.000;0.019;0.000;0.000;0.000;0.000
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;17719;16124;6328;7835;3876;0;0;426;0.561;0.408;0.009;0.021;0.000;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;12460;15971;1476;4868;1927;0;0;378;0.248;0.751;0.000;0.001;0.000;0.000;0.000;0.000
Birkenhead;Mick Whitley;4;Merseyside;63762;2060;21408;1204;5689;3823;0;0;1176;0.000;0.999;0.000;0.001;0.000;0.000;0.000;0.000
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;5807;21474;1165;3522;1834;0;0;293;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;6970;15783;396;2059;799;0;282;287;0.019;0.981;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;2787;26700;908;3055;1560;0;0;314;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Hodge Hill;Liam Byrne;7;Birmingham;78295;1405;20645;416;2108;1158;0;0;239;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Ladywood;Shabana Mahmood;7;Birmingham;74912;951;23711;469;1684;1373;0;0;186;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Northfield;Unknown (LAB gain from CON);7;Birmingham;73694;7253;19680;1223;4472;2138;0;0;409;0.012;0.987;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Perry Barr;Khalid Mahmood;7;Birmingham;72006;3216;21441;792;2829;1224;0;0;260;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Selly Oak;Steve McCabe;7;Birmingham;82665;5511;27394;1279;4266;3095;0;0;373;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Birmingham Yardley;Jess Phillips;7;Birmingham;74704;3853;18771;2055;4384;1498;0;0;311;0.001;0.998;0.000;0.000;0.000;0.000;0.000;0.000
Bishop Auckland;Unknown (LAB gain from CON);3;Durham;68170;8722;18467;1552;5733;1444;0;0;426;0.043;0.951;0.000;0.005;0.000;0.000;0.000;0.000
Blackburn;Kate Hollern;4;Lancashire;71234;3608;22162;413;3018;1174;0;0;315;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackley and Broughton;Graham Stringer;4;Central Manchester;73372;2314;21741;500;3217;1628;0;0;412;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Blackpool North and Cleveleys;Unknown (LAB gain from CON);4;Lancashire;63692;9530;16935;902;4263;1634;0;0;405;0.076;0.923;0.000;0.001;0.000;0.000;0.000;0.000
Blackpool South;Unknown (LAB gain from CON);4;Lancashire;57690;6304;15112;623;3708;1371;0;0;391;0.023;0.977;0.000;0.000;0.000;0.000;0.000;0.000
Blaydon;Liz Twist;3;Newcastle area;67853;5982;22560;2036;6853;2450;0;0;519;0.003;0.994;0.000;0.003;0.000;0.000;0.000;0.000
Blyth Valley;Unknown (LAB gain from CON);3;Northumberland;64429;6843;19457;1401;5240;1985;0;0;408;0.007;0.992;0.000;0.001;0.000;0.000;0.000;0.000
Bognor Regis and Littlehampton;Nick Gibb;12;West Sussex;77446;16289;15587;4459;6638;2769;0;0;508;0.513;0.479;0.002;0.005;0.000;0.000;0.000;0.000
Bolsover;Unknown (LAB gain from CON);8;Derbyshire;74292;7968;20813;1173;6327;2055;0;0;435;0.012;0.985;0.000;0.003;0.000;0.000;0.000;0.000
Bolton North East;Unknown (LAB gain from CON);4;Western Manchester;67564;7777;19116;842;4131;1527;0;0;389;0.013;0.986;0.000;0.000;0.000;0.000;0.000;0.000
Bolton South East;Yasmin Qureshi;4;Western Manchester;69163;4095;19031;590;3946;1357;0;0;458;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Bolton West;Unknown (LAB gain from CON);4;Western Manchester;73191;10292;21484;1609;6300;2262;0;0;640;0.044;0.955;0.000;0.001;0.000;0.000;0.000;0.000
Bootle;Peter Dowd;4;Merseyside;74832;2008;36369;872;3826;2327;0;0;394;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Boston and Skegness;Matt Warman;8;Lincolnshire;69381;11463;11382;1341;7307;1470;0;0;867;0.479;0.465;0.000;0.056;0.000;0.000;0.000;0.000
Bosworth;Unknown (LAB gain from CON);8;Leicestershire;81542;15882;15958;7101;7822;2799;0;0;424;0.475;0.502;0.006;0.017;0.000;0.000;0.000;0.000
Bournemouth East;Unknown (LAB gain from CON);10;Dorset;74125;11110;18137;3410;5831;3652;0;0;555;0.133;0.858;0.001;0.007;0.001;0.000;0.000;0.000
Bournemouth West;Unknown (LAB gain from CON);10;Dorset;74205;10581;17133;4298;5433;3218;0;0;491;0.128;0.863;0.003;0.005;0.000;0.000;0.000;0.000
Bracknell;Unknown (LAB gain from CON);12;Berkshire;78978;16134;18529;4316;6013;3251;0;0;390;0.371;0.624;0.000;0.005;0.000;0.000;0.000;0.000
Bradford East;Imran Hussain;5;West Yorkshire;73206;2762;20297;937;3816;1354;0;0;374;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Bradford South;Judith Cummins;5;West Yorkshire;69046;4680;16893;576;4358;1899;0;0;512;0.002;0.998;0.000;0.000;0.000;0.000;0.000;0.000
Bradford West;Naz Shah;5;West Yorkshire;70694;1834;23108;257;2097;994;0;0;228;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Braintree;James Cleverly;9;Essex;75208;16003;15453;3232;6281;2059;0;0;488;0.535;0.458;0.000;0.007;0.000;0.000;0.000;0.000
Brent Central;Dawn Butler;11;Brent;84032;3355;28270;1108;3644;2683;0;0;288;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brent North;Barry Gardiner;11;Brent;83788;7463;26582;1110;4054;1666;0;0;369;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Brentford and Isleworth;Ruth Cadbury;11;Hounslow;85775;8645;30772;1840;5555;3312;0;0;398;0.004;0.996;0.000;0.000;0.000;0.000;0.000;0.000
Brentwood and Ongar;Alex Burghart;9;Essex;75255;19831;13709;6232;6414;2675;0;0;305;0.792;0.198;0.005;0.005;0.000;0.000;0.000;0.000
Bridgwater and West Somerset;Ian Liddell-Grainger;10;Somerset;85327;16499;16400;7535;6892;2589;0;0;270;0.494;0.479;0.015;0.012;0.000;0.000;0.000;0.000
Brigg and Goole;Unknown (LAB gain from CON);5;Humber area;65939;13052;13992;1457;5760;1775;0;0;277;0.433;0.560;0.000;0.007;0.000;0.000;0.000;0.000
Brighton Kemptown;Lloyd Russell-Moyle;12;East Sussex;69833;7384;26698;1508;4459;3765;0;0;361;0.001;0.999;0.000;0.000;0.000;0.000;0.000;0.000
Brighton Pavilion;Caroline Lucas;12;East Sussex;79057;4410;21598;2564;5112;23069;0;0;520;0.002;0.429;0.000;0.000;0.568;0.000;0.000;0.000
Bristol East;Kerry McCarthy;10;Bristol area;73867;5788;25710;1982;5268;3837;0;0;501;0.002;0.998;0.000;0.000;0.000;0.000;0.000;0.000
Bristol North West;Darren Jones;10;Bristol area;76273;9655;26316;2891;5379;3746;0;0;382;0.012;0.987;0.000;0.000;0.000;0.000;0.000;0.000
Bristol South;Karin Smyth;10;Bristol area;84079;6277;26424;3085;6581;5482;0;0;598;0.003;0.995;0.000;0.002;0.000;0.000;0.000;0.000
Bristol West;Thangam Debbonaire;10;Bristol area;99253;2691;32466;2983;5645;22535;0;0;822;0.000;0.846;0.000;0.000;0.154;0.000;0.000;0.000
Broadland;Unknown (LAB gain from CON);9;Norfolk;78151;15170;15663;8945;6807;2940;0;0;227;0.452;0.491;0.041;0.015;0.000;0.000;0.000;0.000
Bromley and Chislehurst;Unknown (LAB gain from CON);11;Bromley;66697;12313;17164;3258;5396;2645;0;0;385;0.214;0.783;0.000;0.002;0.000;0.000;0.000;0.000
Bromsgrove;Sajid Javid;7;Hereford and Worcestershire;75078;17342;17269;4095;6689;2831;0;0;401;0.500;0.490;0.001;0.008;0.000;0.000;0.000;0.000
Broxbourne;Charles Walker;9;Hertfordshire;73182;15735;15167;2460;5277;2283;0;0;388;0.529;0.467;0.001;0.002;0.000;0.000;0.000;0.000
Broxtowe;Unknown (LAB gain from CON);8;Nottinghamshire;73052;11393;25000;1188;6013;2996;0;0;800;0.033;0.966;0.000;0.001;0.000;0.000;0.000;0.000
Buckingham;Greg Smith;12;Buckinghamshire;83146;21186;16813;10016;7047;2646;0;0;214;0.675;0.295;0.026;0.003;0.000;0.000;0.000;0.000
Burnley;Unknown (LAB gain from CON);4;Lancashire;64345;5781;14009;1499;5665;1774;0;0;512;0.025;0.960;0.000;0.015;0.000;0.000;0.000;0.000
Burton;Unknown (LAB gain from CON);7;Staffordshire;75036;13448;18249;1356;4693;2112;0;0;292;0.220;0.778;0.000;0.002;0.000;0.000;0.000;0.000
Bury North;Unknown (LAB gain from CON);4;Western Manchester;68802;8885;22003;941;4592;1907;0;0;445;0.013;0.987;0.000;0.000;0.000;0.000;0.000;0.000
Bury South;Unknown (LAB gain from CON);4;Western Manchester;75152;8125;24099;1131;5817;2437;0;0;749;0.007;0.992;0.000;0.001;0.000;0.000;0.000;0.000
Bury St Edmunds;Jo Churchill;9;Suffolk;89644;16727;16591;2967;7722;7958;0;0;552;0.501;0.469;0.000;0.015;0.015;0.000;0.000;0.000
Calder Valley;Unknown (LAB gain from CON);5;West Yorkshire;79287;12355;26366;1814;6433;2283;0;0;394;0.030;0.968;0.000;0.002;0.000;0.000;0.000;0.000
Camberwell and Peckham;Harriet Harman;11;Southwark;88971;2039;38217;1365;4132;4458;0;0;319;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Camborne and Redruth;Unknown (LAB gain from CON);10;Cornwall;70250;11331;19002;4406;5539;2195;0;0;305;0.114;0.882;0.002;0.001;0.000;0.000;0.000;0.000
Cambridge;Daniel Zeichner;9;Cambridgeshire;79951;4285;27211;9206;5019;4737;0;0;344;0.000;0.993;0.006;0.000;0.000;0.000;0.000;0.000
Cambridgeshire North East;Steve Barclay;9;Cambridgeshire;83699;17733;14382;3944;6259;2191;0;0;385;0.680;0.310;0.001;0.009;0.000;0.000;0.000;0.000
Cambridgeshire North West;Unknown (LAB gain from CON);9;Cambridgeshire;94909;17636;19624;5583;7237;3488;0;0;395;0.420;0.571;0.003;0.006;0.000;0.000;0.000;0.000
Cambridgeshire South;Unknown (LIB gain from CON);9;Cambridgeshire;87288;14264;15585;21601;6952;2806;0;0;196;0.127;0.196;0.671;0.006;0.000;0.000;0.000;0.000
Cambridgeshire South East;Unknown (LIB gain from CON);9;Cambridgeshire;86769;15204;16311;16994;6843;2533;0;0;268;0.260;0.338;0.394;0.007;0.000;0.000;0.000;0.000
Cannock Chase;Unknown (LAB gain from CON);7;Staffordshire;74813;13616;15650;1283;5139;2822;0;0;371;0.349;0.648;0.000;0.003;0.000;0.000;0.000;0.000
Canterbury;Rosie Duffield;12;Kent;80203;11999;27801;2928;6244;3629;0;0;378;0.025;0.973;0.000;0.002;0.000;0.000;0.000;0.000
