Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (LAB gain from CON);12;Hampshire;72617;13570;14930;4311;5963;2335;0;0;392;0.396;0.589;0.003;0.012;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;14006;10889;1860;5303;1346;0;0;392;0.734;0.259;0.000;0.006;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;12352;20468;3204;8072;4066;0;0;709;0.114;0.870;0.000;0.014;0.001;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;11483;16715;1370;6303;2600;0;0;431;0.181;0.811;0.000;0.008;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;17337;12716;10855;9086;5092;0;0;314;0.620;0.226;0.098;0.054;0.002;0.000;0.000;0.000
Ashfield;Unknown (LAB gain from CON);8;Nottinghamshire;78204;4199;11513;1275;8477;1585;0;11232;2477;0.037;0.390;0.001;0.412;0.002;0.000;0.154;0.002
Ashford;Damian Green;12;Kent;89553;16719;16359;4311;8352;3991;0;0;635;0.502;0.472;0.001;0.025;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;4789;19487;756;5196;1831;0;0;503;0.001;0.997;0.000;0.002;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;15807;18144;8007;7600;2977;0;0;403;0.376;0.589;0.016;0.019;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;15445;21411;6213;8053;3690;0;0;458;0.227;0.759;0.004;0.010;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;2848;23389;604;4349;1695;0;0;391;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;3541;18389;984;7461;1923;0;0;830;0.000;0.984;0.000;0.015;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;4074;18009;1001;7721;1907;0;0;757;0.002;0.983;0.000;0.015;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;9119;20236;1424;6344;2075;0;0;444;0.029;0.966;0.000;0.004;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;14853;13605;2177;5631;2169;0;0;386;0.582;0.410;0.000;0.008;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;12620;14438;2063;6654;1708;0;0;777;0.370;0.602;0.000;0.027;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;13253;19466;4435;7124;3145;0;0;580;0.188;0.799;0.003;0.009;0.000;0.000;0.000;0.000
