Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (LAB gain from CON);12;Hampshire;72617;12397;13463;5385;7575;2417;0;0;263;0.395;0.541;0.014;0.049;0.000;0.000;0.000;0.000
Aldridge-Brownhills;Wendy Morton;7;Black Country;60138;13141;9771;2899;6584;1401;0;0;0;0.738;0.224;0.001;0.036;0.000;0.000;0.000;0.000
Altrincham and Sale West;Unknown (LAB gain from CON);4;Central Manchester;73107;10940;18926;4742;10023;4242;0;0;0;0.091;0.837;0.000;0.070;0.001;0.000;0.000;0.000
Amber Valley;Unknown (LAB gain from CON);8;Derbyshire;69976;10457;15455;2050;8234;2705;0;0;0;0.168;0.775;0.000;0.057;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;81726;15772;10758;12289;11105;5266;0;0;211;0.520;0.137;0.193;0.146;0.003;0.000;0.000;0.000
Ashfield;Unknown (MIN gain from CON);8;Nottinghamshire;78204;3172;10501;1974;11693;1706;0;11710;0;0.006;0.185;0.001;0.650;0.001;0.000;0.156;0.000
Ashford;Damian Green;12;Kent;89553;15296;14579;5614;10319;4132;0;0;427;0.473;0.418;0.005;0.103;0.000;0.000;0.000;0.000
Ashton under Lyne;Angela Rayner;4;Eastern Manchester;67978;3816;18528;1184;7122;1911;0;0;0;0.000;0.983;0.000;0.017;0.000;0.000;0.000;0.000
Aylesbury;Unknown (LAB gain from CON);12;Buckinghamshire;86665;14311;16273;9377;9623;3083;0;0;270;0.353;0.531;0.053;0.062;0.000;0.000;0.000;0.000
Banbury;Unknown (LAB gain from CON);12;Oxfordshire;90116;13883;19458;7643;10158;3820;0;0;308;0.214;0.712;0.019;0.054;0.000;0.000;0.000;0.000
Barking;Margaret Hodge;11;Barking and Dagenham;77953;1779;22213;972;6298;1752;0;0;263;0.000;0.998;0.000;0.002;0.000;0.000;0.000;0.000
Barnsley Central;Dan Jarvis;5;South Yorkshire;65277;2585;17218;1557;9222;1988;0;0;558;0.000;0.942;0.000;0.058;0.000;0.000;0.000;0.000
Barnsley East;Stephanie Peacock;5;South Yorkshire;69504;3108;16826;1585;9470;1972;0;0;508;0.001;0.927;0.000;0.072;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (LAB gain from CON);4;Cumbria;70158;7887;18835;2207;8271;2143;0;0;298;0.027;0.950;0.000;0.023;0.000;0.000;0.000;0.000
Basildon and Billericay;John Baron;9;Essex;69906;13757;12233;3082;7246;2244;0;0;259;0.591;0.368;0.000;0.041;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;Unknown (LAB gain from CON);9;Essex;74441;11540;13086;2921;8424;1766;0;0;522;0.350;0.549;0.001;0.099;0.000;0.000;0.000;0.000
Basingstoke;Unknown (LAB gain from CON);12;Hampshire;82928;11897;17769;5677;9014;3256;0;0;390;0.171;0.763;0.010;0.055;0.001;0.000;0.000;0.000
Bassetlaw;Unknown (LAB gain from CON);8;Nottinghamshire;80024;9905;18562;2313;10461;2109;0;0;0;0.062;0.854;0.000;0.084;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;67805;5578;7963;24595;8102;2880;0;0;229;0.003;0.005;0.981;0.010;0.000;0.000;0.000;0.000
Batley and Spen;Tracy Brabin;5;West Yorkshire;79558;9030;16218;1708;7269;911;0;4420;764;0.075;0.835;0.000;0.090;0.000;0.000;0.000;0.000
Battersea;Marsha De Cordova;11;Wandsworth;79350;6939;27806;4779;8959;4282;0;0;293;0.003;0.983;0.000;0.013;0.000;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;77720;16373;7677;12643;10022;3227;0;0;391;0.636;0.042;0.236;0.085;0.000;0.000;0.000;0.000
Beckenham;Unknown (LAB gain from CON);11;Bromley;68662;13062;15263;5755;8535;3224;0;0;276;0.326;0.612;0.011;0.050;0.000;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;71581;6304;18605;3429;7343;2622;0;0;307;0.015;0.957;0.001;0.026;0.000;0.000;0.000;0.000
Bedfordshire Mid;Unknown (LAB gain from CON);9;Bedfordshire;87795;15164;16137;10221;10347;2414;0;0;407;0.360;0.468;0.065;0.107;0.000;0.000;0.000;0.000
Bedfordshire North East;Unknown (LAB gain from CON);9;Bedfordshire;90678;14976;17548;7988;11115;3419;0;0;431;0.311;0.565;0.020;0.104;0.000;0.000;0.000;0.000
Bedfordshire South West;Unknown (LAB gain from CON);9;Bedfordshire;79926;11958;16392;5727;9442;3224;0;0;417;0.202;0.706;0.009;0.082;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;93248;1970;27699;9768;8031;3725;0;0;278;0.000;0.986;0.011;0.003;0.000;0.000;0.000;0.000
Berwick-upon-Tweed;Unknown (LAB gain from CON);3;Northumberland;59939;9433;9753;6519;7294;1956;0;0;112;0.362;0.450;0.058;0.129;0.000;0.000;0.000;0.000
Bethnal Green and Bow;Rushanara Ali;11;Tower Hamlets;88262;983;34175;2154;6621;3327;0;0;479;0.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000
Beverley and Holderness;Unknown (LAB gain from CON);5;Humber area;79696;12854;16055;5968;10715;2677;0;0;319;0.254;0.612;0.006;0.127;0.000;0.000;0.000;0.000
Bexhill and Battle;Huw Merriman;12;East Sussex;81963;15800;13161;7974;11004;4037;0;0;332;0.548;0.280;0.037;0.134;0.001;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (LAB gain from CON);11;Bexley;65466;10996;13981;2756;7327;2019;0;0;0;0.250;0.706;0.000;0.044;0.000;0.000;0.000;0.000
Birkenhead;Mick Whitley;4;Merseyside;63762;1191;19405;2118;7785;3945;0;0;917;0.000;0.983;0.000;0.016;0.000;0.000;0.000;0.000
Birmingham Edgbaston;Preet Gill;7;Birmingham;68828;4540;19542;2043;5837;1905;0;0;229;0.002;0.994;0.000;0.004;0.000;0.000;0.000;0.000
Birmingham Erdington;Jack Dromey;7;Birmingham;66148;6047;14430;701;4332;839;0;0;226;0.026;0.969;0.000;0.005;0.000;0.000;0.000;0.000
Birmingham Hall Green;Tahir Ali;7;Birmingham;80283;1707;24699;1592;5461;1621;0;0;245;0.000;0.998;0.000;0.002;0.000;0.000;0.000;0.000
