Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;UKIP chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Hampshire;78569;10665;12270;5709;14557;3949;0;0;476;0.169;0.283;0.017;0.530;0.001;0.000;0.000;0.000
Aldridge-Brownhills;Unknown (Reform gain from CON);7;Black Country;70871;10528;6521;3685;17627;2585;0;0;425;0.109;0.010;0.000;0.881;0.000;0.000;0.000;0.000
Altrincham and Sale West;Connor Rand;4;Central Manchester;74025;11362;15878;6913;10710;4106;0;848;0;0.165;0.643;0.019;0.170;0.002;0.000;0.000;0.000
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire;71546;7199;9026;3754;18711;3056;0;0;414;0.018;0.048;0.001;0.932;0.000;0.000;0.000;0.000
Arundel and South Downs;Andrew Griffith;12;West Sussex;77969;16676;7048;10457;14360;5169;0;0;483;0.555;0.018;0.090;0.333;0.003;0.000;0.000;0.000
Ashfield;Lee Anderson;8;Nottinghamshire;68929;2742;6852;1875;21680;1597;0;5230;0;0.000;0.004;0.000;0.995;0.000;0.000;0.000;0.000
Ashford;Unknown (Reform gain from LAB);12;Kent;76212;10342;9380;4506;16046;5123;0;0;915;0.141;0.101;0.004;0.749;0.004;0.000;0.000;0.000
Ashton-under-Lyne;Unknown (Reform gain from LAB);4;Eastern Manchester;71002;3169;9299;2672;14754;2698;0;2554;0;0.001;0.132;0.001;0.865;0.000;0.000;0.000;0.000
Aylesbury;Unknown (Reform gain from LAB);12;Buckinghamshire;79169;9512;11041;9504;14268;3563;0;737;91;0.128;0.180;0.114;0.577;0.000;0.000;0.000;0.000
Banbury;Unknown (Reform gain from LAB);12;Oxfordshire;73193;9930;13153;5907;13684;3521;0;0;724;0.139;0.385;0.020;0.455;0.001;0.000;0.000;0.000
Barking;Unknown (Reform gain from LAB);11;Barking and Dagenham;79825;2593;8662;3561;12530;5572;0;2607;477;0.005;0.183;0.008;0.775;0.028;0.000;0.000;0.000
Barnsley North;Unknown (Reform gain from LAB);5;South Yorkshire;78267;2079;10248;3035;19888;2742;0;0;832;0.000;0.061;0.000;0.939;0.000;0.000;0.000;0.000
Barnsley South;Unknown (Reform gain from LAB);5;South Yorkshire;75850;1986;8592;2664;20694;2437;0;0;761;0.000;0.018;0.000;0.982;0.000;0.000;0.000;0.000
Barrow and Furness;Unknown (Reform gain from LAB);4;Cumbria;74980;9397;11013;3836;14322;2838;0;0;501;0.121;0.236;0.002;0.640;0.000;0.000;0.000;0.000
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex;76873;9529;7365;4341;17870;3048;0;0;608;0.084;0.021;0.000;0.894;0.000;0.000;0.000;0.000
Basildon South and East Thurrock;James McMurdock;9;Essex;72673;7185;6810;3369;18805;2566;0;0;1296;0.019;0.008;0.000;0.972;0.000;0.000;0.000;0.000
Basingstoke;Luke Murphy;12;Hampshire;78487;11151;12922;5359;12898;5179;0;0;623;0.210;0.382;0.016;0.384;0.008;0.000;0.000;0.000
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire;78173;9151;10801;3843;17269;3050;0;0;415;0.066;0.118;0.001;0.814;0.000;0.000;0.000;0.000
Bath;Wera Hobhouse;10;Bristol area;69655;7053;7765;15902;9200;5864;0;250;1152;0.050;0.048;0.763;0.118;0.020;0.000;0.000;0.000
Battersea;Marsha de Cordova;11;Wandsworth;72767;9008;17450;6893;6580;5317;0;505;422;0.065;0.887;0.019;0.020;0.008;0.000;0.000;0.000
Beaconsfield;Joy Morrissey;12;Buckinghamshire;72751;15354;5650;12273;11041;2766;0;0;679;0.580;0.013;0.242;0.163;0.001;0.000;0.000;0.000
Beckenham and Penge;Liam Conlon;11;Bromley;76876;10005;18446;6491;10665;4830;0;0;295;0.075;0.812;0.007;0.102;0.003;0.000;0.000;0.000
Bedford;Mohammad Yasin;9;Bedfordshire;72478;5632;12107;5373;11505;3596;0;798;631;0.025;0.503;0.021;0.447;0.003;0.000;0.000;0.000
Bedfordshire Mid;Unknown (Reform gain from CON);9;Bedfordshire;76218;13389;10419;5975;14347;3836;0;0;1131;0.361;0.145;0.013;0.478;0.002;0.000;0.000;0.000
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;15219;9619;6708;14658;4164;0;0;404;0.481;0.088;0.018;0.412;0.000;0.000;0.000;0.000
Bermondsey and Old Southwark;Neil Coyle;11;Southwark;69473;2396;11239;9446;7467;6095;0;0;583;0.003;0.567;0.268;0.113;0.048;0.000;0.000;0.000
Bethnal Green and Stepney;Unknown (MIN gain from LAB);11;Tower Hamlets;81922;1827;9782;6696;7478;7928;0;10624;0;0.002;0.330;0.097;0.144;0.140;0.000;0.286;0.000
Beverley and Holderness;Unknown (Reform gain from CON);5;Humber area;70559;10453;9448;5377;15762;2567;0;0;714;0.163;0.110;0.008;0.719;0.000;0.000;0.000;0.000
Bexhill and Battle;Unknown (Reform gain from CON);12;East Sussex;72209;11695;8580;5888;15881;3559;0;0;1932;0.269;0.079;0.019;0.629;0.003;0.000;0.000;0.000
Bexleyheath and Crayford;Unknown (Reform gain from LAB);11;Bexley;69470;9590;9217;4550;15726;3131;0;0;331;0.107;0.111;0.001;0.780;0.001;0.000;0.000;0.000
Bicester and Woodstock;Calum Alexander Miller;12;Oxfordshire;74350;11895;6331;15703;11285;3572;0;0;500;0.205;0.015;0.592;0.187;0.001;0.000;0.000;0.000
Birkenhead;Unknown (Reform gain from LAB);4;Merseyside;78091;2378;13212;4242;14652;7798;0;0;529;0.000;0.384;0.002;0.586;0.027;0.000;0.000;0.000
Birmingham Edgbaston;Unknown (Reform gain from LAB);7;Birmingham;71787;5786;10094;4349;11085;3842;0;0;1585;0.054;0.414;0.012;0.507;0.011;0.000;0.000;0.001
