Name;MP;Area;County;Electorate;CON;LAB;LIB;UKIP;Green;NAT;MIN;OTH;CON chance;LAB chance;LIB chance;Reform chance;Green chance;NAT chance;MIN chance;OTH chance
Aldershot;Unknown (Reform gain from LAB);12;Surrey West and Aldershot;78569;11411;11499;4993;12858;5240;0;3886;0;0.283;0.314;0.012;0.384;0.006;0;0;0
Aldridge-Brownhills;Wendy Morton;7;Wolverhampton and Walsall;70871;20806;4281;1542;15781;2163;0;2454;0;0.723;0.016;0;0.261;0;0;0;0
Altrincham and Sale West;Connor Rand;4;Manchester Central and Trafford;74025;14253;17738;3414;10416;4814;0;2934;0;0.25;0.662;0;0.086;0.001;0;0;0
Amber Valley;Unknown (Reform gain from LAB);8;Derbyshire North;71546;2903;16491;432;19616;978;0;5302;0;0.031;0.34;0;0.629;0;0;0;0
Arundel and South Downs;Andrew Griffith;12;Sussex West;77969;25018;5333;3716;16639;3395;0;2629;0;0.672;0.048;0.02;0.257;0.002;0;0;0
Ashfield;Lee Anderson;8;Nottinghamshire North;68929;1634;14221;317;19372;670;0;5925;0;0.007;0.204;0;0.787;0;0;0.001;0
Ashford;Unknown (Reform gain from LAB);12;Kent South;76212;10142;11237;3388;15015;5273;0;3476;0;0.148;0.233;0.001;0.613;0.004;0;0;0
Ashton-under-Lyne;Angela Rayner;4;Manchester East;71002;1519;17668;313;12838;1536;0;4791;0;0.008;0.741;0;0.24;0.008;0;0.002;0
Aylesbury;Unknown (CON gain from LAB);12;Buckinghamshire North;79169;16060;7906;7925;13713;3777;0;2998;0;0.431;0.084;0.111;0.37;0.004;0;0;0
Banbury;Sean Woodcock;12;Oxfordshire;73193;12708;12925;4867;12427;4491;0;3576;0;0.357;0.325;0.012;0.301;0.004;0;0;0
Barking;Nesil Caliskan;11;Dagenham and Redbridge;79825;3856;12261;1836;8000;10641;0;3865;0;0.015;0.489;0.001;0.116;0.378;0;0;0
Barnsley North;Dan Jarvis;5;Barnsley and Sheffield West;78267;1356;18765;358;15174;1369;0;6191;0;0.001;0.702;0;0.294;0;0;0.001;0
Barnsley South;Stephanie Peacock;5;Barnsley and Sheffield West;75850;1385;16809;313;15780;1200;0;6127;0;0.002;0.555;0;0.44;0;0;0.002;0
Barrow and Furness;Michelle Scrogham;4;Cumbria;74980;10580;13922;1854;13095;3088;0;4342;0;0.145;0.471;0;0.383;0;0;0.001;0
Basildon and Billericay;Unknown (Reform gain from CON);9;Essex South West;76873;11192;8269;3383;12676;5348;0;4600;0;0.416;0.121;0.002;0.443;0.016;0;0.001;0
Basildon South and East Thurrock;James McMurdock;9;Essex South West;72673;7829;9403;2687;15183;2553;0;5968;0;0.097;0.133;0.001;0.763;0.001;0;0.004;0
Basingstoke;Luke Murphy;12;Hampshire;78487;11875;13114;4622;12487;5917;0;3294;0;0.252;0.426;0.007;0.299;0.014;0;0;0
Bassetlaw;Unknown (Reform gain from LAB);8;Nottinghamshire North;78173;5160;15256;1099;16159;2299;0;5856;0;0.074;0.427;0;0.494;0.001;0;0.002;0
Bath;Wera Hobhouse;10;Avon South;69655;8033;8827;17256;6918;8445;0;1762;0;0.05;0.056;0.815;0.03;0.048;0;0;0
Battersea;Marsha de Cordova;11;Lambeth and Wandsworth;72767;9478;16957;5569;6370;9304;0;2213;0;0.078;0.809;0.008;0.015;0.089;0;0;0
Beaconsfield;Joy Morrissey;12;Buckinghamshire South;72751;17793;6928;9855;11205;4324;0;2240;0;0.774;0.018;0.098;0.107;0.003;0;0;0
Beckenham and Penge;Liam Conlon;11;Croydon;76876;11198;17782;5557;10503;6646;0;2699;0;0.115;0.776;0.002;0.093;0.013;0;0;0
Bedford;Mohammad Yasin;9;Bedfordshire;72478;4590;16905;2334;13012;2713;0;3688;0;0.072;0.667;0.011;0.239;0.009;0;0;0
Bedfordshire Mid;Blake Stephenson;9;Bedfordshire;76218;15184;11792;4997;13052;5011;0;2920;0;0.556;0.175;0.004;0.258;0.006;0;0;0
Bedfordshire North;Richard Fuller;9;Bedfordshire;78850;21826;7423;3662;15051;3991;0;2917;0;0.733;0.071;0.002;0.193;0;0;0;0
